Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpMagic,InpTF,InpAtrPeriodD1,InpGapMinATR,InpGapMaxATR,InpFillPct,InpSLMode,InpSLGapMult,InpAtrSlMult,InpMaxHours,InpMaxSpreadPts,InpEntryWindowBars,InpRiskPercent,InpComment,InpVerbose
1,2461.57,123.07850,1.30472,0.85039,2.19985,2.8653,20,-1.0547,-2135,-2135.17,772220,16385,14,0.3,2,100,0,1,1.5,48,300,3,1,GAPFILL,1
0,2461.57,123.07850,1.30472,0.85039,2.19985,2.8653,20,-1.0547,-2135,-2135.17,772219,16385,14,0.3,2,100,0,1,1.5,48,300,3,1,GAPFILL,1
