Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpProxMode,InpUsaGuardian,InpPivotLeft,InpPivotRight,InpProxPercent,InpProxAtrMult,InpAtrPeriod,InpAtrExhaustMult,InpVolSmaBars,InpVolSpikeMult,InpTrigMode,InpTrigClosePct,InpAllowLong,InpAllowShort,InpSLBufferPts,InpMinSLPts,InpTP_RR,InpTP1_RR,InpTP1Pct,InpBreakeven,InpUseTrailAtr,InpTrailAtrMult,InpMaxTradesPerDay,InpOneTradePerLevel,InpUseHourFilter,InpHourStart,InpHourEnd,InpFridayClose,InpFridayCloseHour,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose,InpAutoTest
1,-793.59,-11.33700,0.97227,-0.13273,-0.42437,5.6897,70,-1.2931,-4655,-4654.77,1,0,5,5,0.5,0.5,14,2,20,1.5,0,70,1,1,3000,7200,2,1,0,1,0,2,3,0,1,14,20,1,20,0.65,0,abtg_news.csv,3,30,30,0,,ATREXH,784103,0,1,1
0,-18421.10,-120.39935,0.71059,-0.94823,-4.13994,19.2492,153,-1.6295,-7969,-7968.97,0,0,5,5,0.5,0.5,14,2,20,1.5,0,70,1,1,3000,7200,2,1,0,1,0,2,3,0,1,14,20,1,20,0.65,0,abtg_news.csv,3,30,30,0,,ATREXH,784103,0,1,1
