Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpProxMode,InpUsaGuardian,InpPivotLeft,InpPivotRight,InpProxPercent,InpProxAtrMult,InpAtrPeriod,InpAtrExhaustMult,InpVolSmaBars,InpVolSpikeMult,InpTrigMode,InpTrigClosePct,InpAllowLong,InpAllowShort,InpSLBufferPts,InpMinSLPts,InpTP_RR,InpTP1_RR,InpTP1Pct,InpBreakeven,InpUseTrailAtr,InpTrailAtrMult,InpMaxTradesPerDay,InpOneTradePerLevel,InpUseHourFilter,InpHourStart,InpHourEnd,InpFridayClose,InpFridayCloseHour,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose,InpAutoTest
1,8460.56,88.13083,1.22915,1.94882,2.25907,4.1404,96,-1.5195,-3314,-3314.10,1,0,5,5,0.5,0.5,14,2,20,1.5,0,70,1,1,3000,7200,2,1,0,1,0,2,3,0,1,14,20,1,20,0.65,0,abtg_news.csv,3,30,30,0,,ATREXH,784103,0,1,1
0,-4277.39,-19.09549,0.95222,-0.31443,-0.58403,13.4525,224,-1.9225,-8037,-8036.88,0,0,5,5,0.5,0.5,14,2,20,1.5,0,70,1,1,3000,7200,2,1,0,1,0,2,3,0,1,14,20,1,20,0.65,0,abtg_news.csv,3,30,30,0,,ATREXH,784103,0,1,1
