Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpBufferPoints,InpVolMult,InpAtrFilterMult,InpSessionHour,InpSessionMin,InpRangeMinutes,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpTrailFixedPts,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
0,-33252.03,-139.12983,0.73853,-0.76223,-5.00000,40.1239,239,25,1.2,0.8,14,30,15,21,45,1,1,0,2,16385,60,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,1,1.5,14,1,50,1,0,1,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,20,1,20,0,770201,0,1
27,-20762.86,-81.10492,0.84565,-0.73544,-5.00000,26.7323,256,100,1.2,1.0,14,30,15,21,45,1,1,0,2,16385,60,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,1,1.5,14,1,50,1,0,1,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,20,1,20,0,770201,0,1
18,-30528.09,-104.19143,0.80270,-0.77772,-5.00000,36.1032,293,75,1.8,0.8,14,30,15,21,45,1,1,0,2,16385,60,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,1,1.5,14,1,50,1,0,1,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,20,1,20,0,770201,0,1
9,-31841.83,-108.30554,0.79405,-0.78492,-5.00000,37.3115,294,50,1.5,0.8,14,30,15,21,45,1,1,0,2,16385,60,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,1,1.5,14,1,50,1,0,1,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,20,1,20,0,770201,0,1
36,-22528.51,-93.86879,0.82034,-0.72427,-5.00000,29.6485,240,125,1.5,1.0,14,30,15,21,45,1,1,0,2,16385,60,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,1,1.5,14,1,50,1,0,1,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,20,1,20,0,770201,0,1
54,-29358.07,-152.11435,0.72557,-0.82141,-5.00000,34.1277,193,175,1.2,1.2,14,30,15,21,45,1,1,0,2,16385,60,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,1,1.5,14,1,50,1,0,1,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,20,1,20,0,770201,0,1
63,-19488.86,-138.21887,0.75454,-0.70765,-5.00000,26.6957,141,200,1.5,1.2,14,30,15,21,45,1,1,0,2,16385,60,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,1,1.5,14,1,50,1,0,1,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,20,1,20,0,770201,0,1
45,-23020.03,-103.22883,0.80363,-0.77789,-5.00000,28.7698,223,150,1.8,1.0,14,30,15,21,45,1,1,0,2,16385,60,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,1,1.5,14,1,50,1,0,1,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,20,1,20,0,770201,0,1
1,-33252.03,-139.12983,0.73853,-0.76223,-5.00000,40.1239,239,50,1.2,0.8,14,30,15,21,45,1,1,0,2,16385,60,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,1,1.5,14,1,50,1,0,1,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,20,1,20,0,770201,0,1
19,-30528.09,-104.19143,0.80270,-0.77772,-5.00000,36.1032,293,100,1.8,0.8,14,30,15,21,45,1,1,0,2,16385,60,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,1,SPXUSD,16385,14,100,0,15,2,1,1.5,14,1,50,1,0,1,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,1,20,1,20,0,770201,0,1
