pid;symbol;side;volume;open_time;open_price;close_time;close_price;commission;swap;profit;strategy;magic;close_reason;session_high;session_low
3113525;U30USD;buy;4.40;2026.08.10 15:53:40;54007.50;2026.08.10 16:25:28;54036.50;0.00;0.00;110.47;Dow Apertura US RETEST BUY;770202;sl;54062.50;53851.50
3120078;D30EUR;buy;8.30;2026.08.11 13:22:02;26382.80;2026.08.11 13:22:49;26385.80;0.00;0.00;24.90;DAX Apertura EU RETEST BUY;770101;sl;26507.50;26340.70
3122201;U30USD;buy;4.10;2026.08.11 14:45:31;54178.50;2026.08.11 15:03:36;54129.40;0.00;0.00;-174.43;ORB OTT BUY;770611;sl;54231.50;53746.50
3141557;U30USD;buy;5.00;2026.08.13 15:05:18;53993.50;2026.08.13 15:17:13;53935.80;0.00;0.00;-249.96;ORB OTT BUY;770611;sl;54050.50;53621.50
3142969;U30USD;buy;4.70;2026.08.13 15:06:04;53983.50;2026.08.13 15:30:05;54010.50;0.00;0.00;109.98;Dow Apertura US RETEST BUY;770202;sl;54050.50;53621.50
3160789;D30EUR;buy;11.80;2026.08.14 08:50:21;26476.80;2026.08.14 09:18:20;26421.90;0.00;0.00;-647.82;DAX Apertura EU RETEST BUY;770101;sl;26539.30;26400.30
3178844;D30EUR;sell;12.80;2026.08.18 08:14:43;26216.70;2026.08.18 09:18:58;26216.70;0.00;0.00;324.48;MAXMIN DAX SHORT SELL;770411;sl;26276.50;26121.00
3194882;U30USD;buy;3.70;2026.08.19 14:56:07;53600.50;2026.08.19 15:15:00;53563.50;0.00;0.00;-117.37;ORB OTT BUY;770611;sl;53716.50;53410.50
3201437;D30EUR;sell;17.80;2026.08.20 08:02:11;26043.80;2026.08.20 10:54:45;25988.80;0.00;0.00;998.58;MAXMIN DAX SHORT SELL;770411;sl;26104.80;25905.50
3212087;D30EUR;buy;7.60;2026.08.21 08:40:19;26044.80;2026.08.21 09:32:29;26061.80;0.00;0.00;129.20;DAX Apertura EU RETEST BUY;770101;sl;26162.50;26005.00
3216272;U30USD;buy;5.80;2026.08.21 14:45:13;53129.50;2026.08.21 14:54:24;53081.80;0.00;0.00;-236.80;ORB OTT BUY;770611;sl;53350.50;53057.50
3221475;D30EUR;sell;15.10;2026.08.24 08:01:08;26074.90;2026.08.24 08:47:01;26073.90;0.00;0.00;15.10;MAXMIN DAX SHORT SELL;770411;sl;26169.70;26030.80
3222369;D30EUR;buy;9.20;2026.08.24 09:07:27;26096.20;2026.08.24 09:26:20;26100.60;0.00;0.00;40.48;DAX Apertura EU RETEST BUY;770101;sl;26169.70;26038.20
3226342;U30USD;buy;14.20;2026.08.24 14:46:25;53410.50;2026.08.24 15:13:24;53377.20;0.00;0.00;-405.35;ORB OTT BUY;770611;sl;53505.50;53310.50
3233624;D30EUR;buy;7.50;2026.08.25 09:23:50;26240.60;2026.08.25 11:00:08;26305.60;0.00;0.00;402.40;DAX Apertura EU RETEST BUY;770101;sl;26342.70;26186.40
