Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpLookback,InpTF,InpRiskPercent,InpAllowLong,InpAllowShort,InpMaxSpreadPts,InpComment,InpMagic,InpVerbose
0,-25627.81,-22.09294,0.94985,-0.66440,-0.36671,36.9583,1160,-3.0817,-10141,-10140.96,50,16385,1,1,1,0,MREV,773101,0
2,-22993.19,-66.84067,0.85317,-0.88489,-0.55469,25.7731,344,-2.9924,-5666,-5666.32,150,16385,1,1,1,0,MREV,773101,0
5,-16771.03,-90.65422,0.82323,-0.75908,-0.52287,21.2458,185,-2.0103,-7013,-7013.15,300,16385,1,1,1,0,MREV,773101,0
4,-15679.91,-74.31237,0.85630,-0.63621,-0.46326,22.7990,211,-2.0608,-7142,-7142.11,250,16385,1,1,1,0,MREV,773101,0
3,-19516.56,-68.47916,0.85243,-0.80567,-0.51865,24.0882,285,-2.0562,-6304,-6303.58,200,16385,1,1,1,0,MREV,773101,0
1,-3938.84,-7.16153,0.98559,-0.18947,-0.07099,19.5964,550,-3.1231,-6528,-6527.56,100,16385,1,1,1,0,MREV,773101,0
