motore,simbolo,tf,etichetta,cartella,vicino,is_passate,is_uniche,is_pf_med,is_pf_max,is_trades_med,is_trades_max,is_dd_med,is_profit_med,is_dd_max,is_profit_max,oos_passate,oos_uniche,oos_pf_med,oos_pf_max,oos_trades_med,oos_trades_max,oos_dd_med,oos_profit_med,oos_dd_max,oos_profit_max,unica_passate,unica_uniche,unica_pf_med,unica_pf_max,unica_trades_med,unica_trades_max,unica_dd_med,unica_profit_med,unica_dd_max,unica_profit_max,file
larry,GBPNZD,H1,notte,backtest_pipeline/risultati_prove/ABTG_PunteLarry/notte,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,12,12,0.49293,1.1674,70,46,18.5902,-1358.23,6.2348,217.12,backtest_pipeline/risultati_prove/ABTG_PunteLarry/notte/scan_larry_GBPNZD.csv
BreakingBand,XAUUSD,H1,risultati_scan_ABTG_BreakingBand_H1,backtest_pipeline/risultati_prove/ABTG_BreakingBand/risultati_scan_ABTG_BreakingBand_H1,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,2,1,0.49251,0.49251,2,2,1.2443,-43.7,1.2443,-43.7,backtest_pipeline/risultati_prove/ABTG_BreakingBand/risultati_scan_ABTG_BreakingBand_H1/scan_ABTG_BreakingBand_H1_XAUUSD.csv
GoldenCross,USDSEK,H1,H1_OHLC,backtest_pipeline/risultati_archivio/GoldenCross/H1_OHLC,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,81,74,0.48678,0.94155,28,57,3.8153,-352.48,4.5979,-63.01,backtest_pipeline/risultati_archivio/GoldenCross/H1_OHLC/scan_ABTG_GoldenCross_H1_USDSEK.csv
SupertrendReversal,EURCHF,H1,H1_OHLC,backtest_pipeline/risultati_archivio/SupertrendReversal/H1_OHLC,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,99,99,0.48657,1.09108,362,88,18.9135,-1783.23,3.134,62.77,backtest_pipeline/risultati_archivio/SupertrendReversal/H1_OHLC/scan_ABTG_SupertrendReversal_H1_EURCHF.csv
SupertrendReversal,USDNOK,H4,H4_OHLC,backtest_pipeline/risultati_archivio/SupertrendReversal/H4_OHLC,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,85,83,0.48286,2.44875,138,48,13.5236,-994.4,1.8644,498.56,backtest_pipeline/risultati_archivio/SupertrendReversal/H4_OHLC/scan_ABTG_SupertrendReversal_H4_USDNOK.csv
EasyTrend,XPTUSD,H1,scan,backtest_pipeline/risultati_prove/ABTG_EasyTrend/scan,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,6,6,0.48252,1.02986,97,49,33.5368,-3142.41,8.9113,79.46,backtest_pipeline/risultati_prove/ABTG_EasyTrend/scan/scan_ABTG_EasyTrend_XPTUSD.csv
SupertrendReversal,CADCHF,H4,H4_OHLC,backtest_pipeline/risultati_archivio/SupertrendReversal/H4_OHLC,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,91,85,0.48153,3.96776,35,28,4.8674,-303.52,1.5149,254.96,backtest_pipeline/risultati_archivio/SupertrendReversal/H4_OHLC/scan_ABTG_SupertrendReversal_H4_CADCHF.csv
EMA200,E50EUR,H1,H1_OHLC,backtest_pipeline/risultati_archivio/EMA200/H1_OHLC,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,88,88,0.47922,0.74026,401,210,25.4937,-2419.57,7.1197,-557.45,backtest_pipeline/risultati_archivio/EMA200/H1_OHLC/scan_ABTG_EMA200_H1_E50EUR.csv
EMA200,USDSEK,H1,risultati_scan_ABTG_EMA200_H1,backtest_pipeline/risultati_prove/risultati_scan_ABTG_EMA200_H1,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,87,87,0.47875,0.5382,1134,624,63.0546,-6226.99,42.4083,-4154.23,backtest_pipeline/risultati_prove/risultati_scan_ABTG_EMA200_H1/scan_ABTG_EMA200_H1_USDSEK.csv
CostToCost,USDNOK,H1,scan_h1,backtest_pipeline/risultati_prove/ABTG_CostToCost/scan_h1,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,9,9,0.47571,0.62353,440,590,71.9023,-7183.08,88.2271,-8818.51,backtest_pipeline/risultati_prove/ABTG_CostToCost/scan_h1/scan_ABTG_CostToCost_USDNOK.csv
BreakingBand,CADJPY,H1,risultati_scan_ABTG_BreakingBand_H1,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan2/risultati_scan_ABTG_BreakingBand_H1,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,3,3,0.4745,0.74579,12,4,4.0373,-235.94,1.2431,-26.1,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan2/risultati_scan_ABTG_BreakingBand_H1/scan_ABTG_BreakingBand_H1_CADJPY.csv
BreakingBand,EURSEK,H1,risultati_scan_ABTG_BreakingBand_H1,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan3bis/risultati_scan_ABTG_BreakingBand_H1,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,3,3,0.47419,0.61272,15,13,3.4564,-303.49,2.5486,-174.25,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan3bis/risultati_scan_ABTG_BreakingBand_H1/scan_ABTG_BreakingBand_H1_EURSEK.csv
GoldenCross,EURCHF,H4,H4_OHLC,backtest_pipeline/risultati_archivio/GoldenCross/H4_OHLC,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,86,44,0.47417,1.70279,40,18,8.851,-595.86,1.7683,146.94,backtest_pipeline/risultati_archivio/GoldenCross/H4_OHLC/scan_ABTG_GoldenCross_H4_EURCHF.csv
BreakingBand,GBPNZD,H1,risultati_scan_ABTG_BreakingBand_H1,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan2/risultati_scan_ABTG_BreakingBand_H1,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,3,3,0.47153,0.57019,12,7,3.2944,-185.46,2.1183,-88.02,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan2/risultati_scan_ABTG_BreakingBand_H1/scan_ABTG_BreakingBand_H1_GBPNZD.csv
EMA200,XPTUSD,H1,risultati_scan_ABTG_EMA200_H1,backtest_pipeline/risultati_prove/risultati_scan_ABTG_EMA200_H1,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,86,86,0.46252,0.57866,754,447,47.151,-4713.48,22.4744,-2243.82,backtest_pipeline/risultati_prove/risultati_scan_ABTG_EMA200_H1/scan_ABTG_EMA200_H1_XPTUSD.csv
CostToCost,XPTUSD,H4,scan_h4,backtest_pipeline/risultati_prove/ABTG_CostToCost/scan_h4,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,9,9,0.45874,0.75138,184,105,44.616,-4237.43,14.0513,-991.07,backtest_pipeline/risultati_prove/ABTG_CostToCost/scan_h4/scan_ABTG_CostToCost_H4_XPTUSD.csv
SupertrendReversal,USDSEK,H4,H4_OHLC,backtest_pipeline/risultati_archivio/SupertrendReversal/H4_OHLC,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,90,88,0.45757,1.06115,28,23,4.0801,-269.7,2.6876,15.86,backtest_pipeline/risultati_archivio/SupertrendReversal/H4_OHLC/scan_ABTG_SupertrendReversal_H4_USDSEK.csv
SupertrendReversal,USDNOK,H1,H1_OHLC,backtest_pipeline/risultati_archivio/SupertrendReversal/H1_OHLC,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,93,93,0.45702,1.01188,614,81,47.6087,-4702.02,6.4634,13.56,backtest_pipeline/risultati_archivio/SupertrendReversal/H1_OHLC/scan_ABTG_SupertrendReversal_H1_USDNOK.csv
BreakingBand,UKOIL,H1,risultati_scan_ABTG_BreakingBand_H1,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan2/risultati_scan_ABTG_BreakingBand_H1,[NON MISURATO],,,,,,,,,,,,,,,,,,,,,3,3,0.45581,1.75423,2,6,1.5168,-53.69,1.5145,74.42,backtest_pipeline/risultati_prove/ABTG_BreakingBand/scan2/risultati_scan_ABTG_BreakingBand_H1/scan_ABTG_BreakingBand_H1_UKOIL.csv
