Simbolo,Timeframe,Barre,PrimaDataLocale,PrimaDataServer,Verdetto
D30EUR,M1,643567,2024.09.26,2024.09.26,COMPLETO
D30EUR,M5,129930,2024.09.26,2024.09.26,COMPLETO
D30EUR,TICK,35496307,2024.09.26,-,COMPLETO
U30USD,M1,668718,2024.09.26,2024.09.26,COMPLETO
U30USD,M5,133819,2024.09.26,2024.09.26,COMPLETO
U30USD,TICK,68558736,2024.09.26,-,COMPLETO
