Simbolo,Timeframe,Barre,PrimaDataLocale,PrimaDataServer,Verdetto
GBPUSD,M1,4317541,2014.12.30,1993.05.11,MANCA STORICO LOCALE: rilancia
GBPUSD,H1,72199,2010.07.06,1993.05.11,MANCA STORICO LOCALE: rilancia
GBPUSD,TICK,70491074,2024.07.05,-,TICK REALI PARZIALI
