Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpTP1Pct,InpUsaGuardian,InpTF,InpEmaPeriod,InpEma14Period,InpAtrPeriod,InpMinDistAtr,InpMaxDistAtr,InpUseEma14Bias,InpAllowLong,InpAllowShort,InpUseAdrFilter,InpAdrDays,InpAdrDistMin,InpAdrDistMax,InpOrder1Atr,InpOrder2Atr,InpUseOrder2,InpPendingExpiryBars,InpSLatr,InpMinRR,InpTP_RR,InpTP1_ATRmult,InpBreakeven,InpUseTrailing,InpUseCutoff,InpCutoffHour,InpCutoffMin,InpRiskPercent,InpMaxTradesPerDay,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpFridayClose,InpFridayCloseHour,InpMagic,InpMaxSpread,InpVerbose,InpLogImbuto
2,4585.40,19.34768,1.20110,0.78806,3.77377,5.7325,237,50,1,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,0.2,0.3,1,6,1,1,2,0,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200R136C,0,20,786300,0,1,0
0,-1766.02,-21.80272,0.93483,-0.23745,-0.78379,7.2521,81,0,1,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,0.2,0.3,1,6,1,1,2,0,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200R136C,0,20,786300,0,1,0
3,4577.18,20.07535,1.20031,0.78711,3.77371,5.7281,228,75,1,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,0.2,0.3,1,6,1,1,2,0,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200R136C,0,20,786300,0,1,0
1,4563.68,18.25472,1.20039,0.78386,3.74770,5.7370,250,25,1,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,0.2,0.3,1,6,1,1,2,0,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200R136C,0,20,786300,0,1,0
