Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpAllowLong,InpAllowShort,InpTF,InpExitMode,InpTP_R,InpSLBufferATR,InpAtrPeriod,InpMinRangeATR,InpMaxBarsHold,InpWarmupBars,InpMaxSpreadPts,InpEntryWindowBars,InpRiskPercent,InpMagic,InpComment,InpVerbose
2,-3007.31,-47.73508,0.11218,-0.94703,-5.00000,31.2299,63,-3.9601,-747,-747.34,0,1,16388,2,1.5,0.2,14,0,100,500,300,3,1,772311,COST,1
1,2196.82,34.32531,1.74020,1.82843,1.84421,9.3345,64,-3.9740,-522,-522.40,1,0,16388,2,1.5,0.2,14,0,100,500,300,3,1,772311,COST,1
3,-1475.43,-11.61756,0.76991,-0.55157,-1.04933,24.2269,127,-4.0807,-836,-836.25,1,1,16388,2,1.5,0.2,14,0,100,500,300,3,1,772311,COST,1
