Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpAllowLong,InpAllowShort,InpTF,InpExitMode,InpTP_R,InpSLBufferATR,InpAtrPeriod,InpMinRangeATR,InpMaxBarsHold,InpWarmupBars,InpMaxSpreadPts,InpEntryWindowBars,InpRiskPercent,InpMagic,InpComment,InpVerbose
2,-717.79,-15.60413,0.70018,-0.75039,-1.80378,9.3425,46,-3.0309,-560,-560.36,0,1,16388,2,1.5,0.2,14,0,100,500,300,3,1,772311,COST,1
1,55.33,1.15271,1.02553,0.05113,0.10266,9.7931,48,-3.7218,-527,-527.35,1,0,16388,2,1.5,0.2,14,0,100,500,300,3,1,772311,COST,1
3,-697.47,-7.41989,0.84673,-0.44108,-0.76349,14.6354,94,-3.6972,-741,-741.30,1,1,16388,2,1.5,0.2,14,0,100,500,300,3,1,772311,COST,1
