Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpMagicNumber,InpUsaGuardian,InpSessionTimeMode,InpSessionOpenHour,InpSessionOpenMinute,InpSessionCloseHour,InpSessionCloseMinute,InpOpeningRangeMinutes,InpMaxEntryMinutesFromOpen,InpExitMinutesBeforeClose,InpEnableBuyGaps,InpMinimumBuyGapPercent,InpEnableSellGaps,InpMinimumSellGapPercent,InpUseRealVolumeIfAvailable,InpMaxSpreadPoints,InpMaxSpreadToStopPercent,InpStopBufferPoints,InpBuyRiskPercent,InpSellRiskPercent,InpReduceRiskOnSmallSellGap,InpSellFullRiskFromGapPct,InpSmallSellRiskPercent,InpFixedLots,InpMaxLots,InpPartialClosePercent,InpPartialTargetR,InpFinalTargetR,InpMoveStopToBreakEven,InpMaxSlippagePoints,InpShowStatusOnChart,InpPrintDailyDiagnostics,InpComment,InpLogImbuto
0,-94.20,-1.47187,0.95084,-0.09925,-1.03963,9.2102,64,-1.0259,-382,-381.78,792701,1,1,8,0,16,30,15,90,5,0,0.5,1,0.5,1,0,10,1500,1,1,0,1.25,0.25,0,0,40,1,2,1,30,0,0,GCDAXS8,1
1,-94.20,-1.47187,0.95084,-0.09925,-1.03963,9.2102,64,-1.0259,-382,-381.78,792751,1,1,8,0,16,30,15,90,5,0,0.5,1,0.5,1,0,10,1500,1,1,0,1.25,0.25,0,0,40,1,2,1,30,0,0,GCDAXS8,1
