Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,Barre Valutate,Rifiuto Long,Rifiuto Short,Accett Long,Accett Short,Long,Short,Reject,Guardian,Flat Chiusure,InpMagic,InpUsaGuardian,InpBandaLen,InpBandaAtr,InpAtrLen,InpVolFrazione,InpUsaFiltroVolume,InpUsaRamoRifiuto,InpUsaRamoAccettazione,InpAllowLong,InpAllowShort,InpOraInizio,InpMinInizio,InpOraFine,InpMinFine,InpUsaFlatSeduta,InpOraFlat,InpMinFlat,InpStopAtr,InpMinStopPts,InpMT5PerPuntoIndice,InpRR,InpBEatR,InpRiskPercent,InpMaxSpreadPctOfStop,InpMaxTradesPerDay,InpComment,InpVerbose
0,11310.73,18.30215,1.05227,0.92505,1.10912,11.7644,618,-2.4542,-5562,-5562.21,7020,262,262,2614,2012,308,310,2422,0,182,769900,1,40,0.8,14,0.8,1,1,1,1,1,8,0,20,30,1,21,0,1.5,25,100,2,0,0.65,2.5,0,LVN,1
1,11310.73,18.30215,1.05227,0.92505,1.10912,11.7644,618,-2.4542,-5562,-5562.21,7020,262,262,2614,2012,308,310,2422,0,182,769950,1,40,0.8,14,0.8,1,1,1,1,1,8,0,20,30,1,21,0,1.5,25,100,2,0,0.65,2.5,0,LVN,1
