Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpMagic,InpTF,InpLinRegLen,InpPlotMode,InpPlotLen,InpCciPeriod,InpPivotL,InpPivotR,InpPivotSource,InpMaxPivotDist,InpDivMaxBars,InpDivDieOnFail,InpHourStart,InpHourEnd,InpPrevBars,InpEntryWindowBars,InpMarketIfTooClose,InpSLBufferPts,InpTP_R,InpWarmupBars,InpAllowLong,InpAllowShort,InpMaxSpreadPts,InpRiskPercent,InpComment,InpVerbose
0,-5328.15,-152.23286,0.76252,-0.62897,-1.33204,8.3745,35,-1.7973,-4869,-4869.33,772655,16385,11,0,11,20,5,3,0,60,0,0,8,18,3,3,1,30,1.5,500,1,1,30,1,EZ TREND,1
1,-5328.15,-152.23286,0.76252,-0.62897,-1.33204,8.3745,35,-1.7973,-4869,-4869.33,772656,16385,11,0,11,20,5,3,0,60,0,0,8,18,3,3,1,30,1.5,500,1,1,30,1,EZ TREND,1
