Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpMagic,InpTF,InpLinRegLen,InpPlotMode,InpPlotLen,InpCciPeriod,InpPivotL,InpPivotR,InpPivotSource,InpMaxPivotDist,InpDivMaxBars,InpDivDieOnFail,InpHourStart,InpHourEnd,InpPrevBars,InpEntryWindowBars,InpMarketIfTooClose,InpSLBufferPts,InpTP_R,InpWarmupBars,InpAllowLong,InpAllowShort,InpMaxSpreadPts,InpRiskPercent,InpComment,InpVerbose
1,-249.60,-6.08780,0.98762,-0.03643,-0.07170,6.8401,41,-1.3074,-4002,-4002.47,772696,16385,11,0,11,20,5,3,0,60,0,0,8,18,3,3,1,30,1,500,1,1,30,1,EZ TREND,1
0,-249.60,-6.08780,0.98762,-0.03643,-0.07170,6.8401,41,-1.3074,-4002,-4002.47,772695,16385,11,0,11,20,5,3,0,60,0,0,8,18,3,3,1,30,1,500,1,1,30,1,EZ TREND,1
