Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpMagic,InpTF,InpLinRegLen,InpPlotMode,InpPlotLen,InpCciPeriod,InpPivotL,InpPivotR,InpPivotSource,InpMaxPivotDist,InpDivMaxBars,InpDivDieOnFail,InpHourStart,InpHourEnd,InpPrevBars,InpEntryWindowBars,InpMarketIfTooClose,InpSLBufferPts,InpTP_R,InpWarmupBars,InpAllowLong,InpAllowShort,InpMaxSpreadPts,InpRiskPercent,InpComment,InpVerbose
0,9442.55,269.78714,1.53814,1.62568,1.84748,5.6201,35,-1.7975,-4093,-4093.29,772659,16385,11,0,11,20,5,3,0,60,0,0,8,18,3,3,1,30,1.5,500,1,1,30,1,EZ TREND,1
1,9442.55,269.78714,1.53814,1.62568,1.84748,5.6201,35,-1.7975,-4093,-4093.29,772660,16385,11,0,11,20,5,3,0,60,0,0,8,18,3,3,1,30,1.5,500,1,1,30,1,EZ TREND,1
