Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpMagic,InpTF,InpExitMode,InpTP_R,InpSLBufferATR,InpAtrPeriod,InpMinRangeATR,InpMaxBarsHold,InpWarmupBars,InpAllowLong,InpAllowShort,InpMaxSpreadPts,InpEntryWindowBars,InpRiskPercent,InpComment,InpVerbose
1,47260.47,1099.08070,2.65390,2.32498,3.62849,14.3083,43,-10.0654,-6620,-6620.16,772702,16388,2,1.5,0.2,14,0,100,500,1,0,300,3,1,COST,1
0,47260.47,1099.08070,2.65390,2.32498,3.62849,14.3083,43,-10.0654,-6620,-6620.16,772701,16388,2,1.5,0.2,14,0,100,500,1,0,300,3,1,COST,1
