Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpSLMode,InpTPRangeMult,InpUseEma200Filter,InpMaxRangePct,InpRangeStartHour,InpRangeStartMin,InpRangeEndHour,InpRangeEndMin,InpEndHour,InpEndMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpEntryPoints,InpK,InpAllowLong,InpAllowShort,InpExecTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP_R,InpTPMode,InpTP1Pct,InpBreakeven,InpUseTrailEMA,InpEmaFast,InpEmaSlow,InpExitOnEmaClose,InpUseCloseConfirm,InpMinBodyPct,InpUseEmaFilter,InpEma200Period,InpMinRangePct,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose
42,-1658.38,-12.28430,0.87100,-0.52534,-5.00000,27.4539,135,2,1.0,1,0.8,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
18,-1751.46,-12.87838,0.86474,-0.53894,-5.00000,28.2634,136,2,1.0,1,0.0,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
12,67.17,0.49390,1.01725,0.09305,0.72959,6.6909,136,0,0.5,1,0.0,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
36,152.52,1.12978,1.04005,0.23961,1.67513,5.8999,135,0,0.5,1,0.8,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
6,2033.06,9.19937,1.09110,0.47339,4.03653,32.8706,221,2,1.0,0,0.0,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
0,659.58,2.98452,1.11140,1.07687,4.12881,5.4338,221,0,0.5,0,0.0,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
24,703.22,3.24065,1.12215,1.14462,4.50044,5.8717,217,0,0.5,0,0.8,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
30,-479.60,-2.21014,0.97483,-0.11886,-1.16809,37.0243,217,2,1.0,0,0.8,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
43,599.82,4.44311,1.06385,0.49823,2.53447,10.1993,135,3,1.0,1,0.8,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
13,319.93,2.35243,1.04720,0.28501,2.96439,10.4736,136,1,0.5,1,0.0,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
