Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpSLMode,InpTP_R,InpUseEma200Filter,InpRangeStartHour,InpRangeStartMin,InpRangeEndHour,InpRangeEndMin,InpEndHour,InpEndMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpEntryPoints,InpK,InpAllowLong,InpAllowShort,InpExecTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP1Pct,InpBreakeven,InpUseTrailEMA,InpEmaFast,InpEmaSlow,InpExitOnEmaClose,InpUseCloseConfirm,InpMinBodyPct,InpUseEmaFilter,InpEma200Period,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose
30,-2047.97,-17.65491,0.73942,-0.63607,-5.00000,29.4858,116,2,2.0,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
20,596.91,3.29785,1.32866,1.80058,15.45363,3.2121,181,0,1.0,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
35,-797.94,-5.35530,0.86261,-0.32160,-5.00000,23.0444,149,3,2.5,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
25,-226.03,-1.43968,0.95790,-0.12814,-3.42009,16.5111,157,1,1.5,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
15,-1058.60,-6.74268,0.82384,-0.43371,-5.00000,22.6693,157,3,2.5,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
5,-285.75,-1.74238,0.94803,-0.14870,-4.13422,17.9866,164,1,1.5,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
10,-2028.06,-16.48829,0.75412,-0.62635,-5.00000,29.6521,123,2,2.0,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
0,678.51,3.60910,1.36106,1.89607,16.30758,3.4613,188,0,1.0,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
21,-426.19,-2.80388,0.91422,-0.27615,-5.00000,14.6258,152,1,1.0,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
6,-2179.60,-17.72033,0.72059,-0.67090,-5.00000,29.7421,123,2,1.5,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
31,-806.87,-5.48891,0.85847,-0.33281,-5.00000,22.4358,147,3,2.0,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
26,-2146.92,-18.50793,0.71214,-0.67159,-5.00000,29.2660,116,2,1.5,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
11,-725.58,-4.68116,0.87657,-0.30934,-5.00000,21.7065,155,3,2.0,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
1,-261.38,-1.65430,0.94887,-0.16241,-4.84751,15.2515,158,1,1.0,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
