Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpSLMode,InpTP_R,InpUseEma200Filter,InpRangeStartHour,InpRangeStartMin,InpRangeEndHour,InpRangeEndMin,InpEndHour,InpEndMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpEntryPoints,InpK,InpAllowLong,InpAllowShort,InpExecTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP1Pct,InpBreakeven,InpUseTrailEMA,InpEmaFast,InpEmaSlow,InpExitOnEmaClose,InpUseCloseConfirm,InpMinBodyPct,InpUseEmaFilter,InpEma200Period,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose
17,-1096.74,-6.48959,0.82279,-0.49799,-5.00000,21.5845,169,1,3.0,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
27,-1065.17,-6.78452,0.81904,-0.51305,-5.00000,20.2093,157,3,1.5,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
7,-262.27,-1.64950,0.95446,-0.15372,-3.38819,16.6075,159,3,1.5,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
37,-1695.74,-10.21530,0.71872,-0.62416,-5.00000,26.6268,166,1,3.0,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
22,-1987.76,-15.40899,0.71169,-0.83815,-5.00000,23.2621,129,2,1.0,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
3,-358.22,-2.29628,0.93137,-0.25123,-5.00000,13.9739,156,3,1.0,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
33,-1625.91,-9.97491,0.73312,-0.67251,-5.00000,23.7589,163,1,2.5,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
13,-1136.15,-6.84428,0.81761,-0.57773,-5.00000,19.3261,166,1,2.5,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
18,-2272.75,-16.96082,0.74806,-0.64111,-5.00000,33.7220,134,2,3.0,0,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
38,-3223.00,-24.60305,0.63165,-0.76472,-5.00000,40.0916,131,2,3.0,1,14,30,15,0,22,59,1,1,600,10,1,1,1,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,200,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
