Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpSLMode,InpTPRangeMult,InpUseEma200Filter,InpUseVolumeFilter,InpRangeStartHour,InpRangeStartMin,InpRangeEndHour,InpRangeEndMin,InpEndHour,InpEndMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpEntryPoints,InpK,InpAllowLong,InpAllowShort,InpExecTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP_R,InpTPMode,InpTP1Pct,InpBreakeven,InpUseTrailEMA,InpEmaFast,InpEmaSlow,InpExitOnEmaClose,InpUseCloseConfirm,InpMinBodyPct,InpUseEmaFilter,InpEma200Period,InpMinRangePct,InpMaxRangePct,InpVolMult,InpVolAvgBars,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose
1,-206.89,-1.20988,0.98204,-0.09471,-1.14853,18.6777,171,1,1.0,0,0,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
37,1218.77,9.67278,1.14605,0.72289,8.39553,13.9828,126,1,1.0,1,1,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
14,-1919.86,-15.23698,0.83460,-0.41987,-5.00000,36.1783,126,2,1.0,1,0,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
2,-4024.99,-23.53795,0.72920,-0.61475,-5.00000,52.2855,171,2,1.0,0,0,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
20,893.89,7.09437,1.16672,0.97453,6.68955,8.0843,126,0,2.0,1,0,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
32,757.00,4.42690,1.09825,0.45938,4.25000,13.9244,171,0,2.0,0,1,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
44,893.89,7.09437,1.16672,0.97453,6.68955,8.0843,126,0,2.0,1,1,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
8,757.00,4.42690,1.09825,0.45938,4.25000,13.9244,171,0,2.0,0,0,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
26,-4024.99,-23.53795,0.72920,-0.61475,-5.00000,52.2855,171,2,1.0,0,1,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
38,-1919.86,-15.23698,0.83460,-0.41987,-5.00000,36.1783,126,2,1.0,1,1,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
