Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpSLMode,InpTPRangeMult,InpTP1Pct,InpUseTrailEMA,InpUseEma200Filter,InpRangeStartHour,InpRangeStartMin,InpRangeEndHour,InpRangeEndMin,InpEndHour,InpEndMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpEntryPoints,InpK,InpAllowLong,InpAllowShort,InpExecTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP_R,InpTPMode,InpBreakeven,InpEmaFast,InpEmaSlow,InpExitOnEmaClose,InpUseCloseConfirm,InpMinBodyPct,InpUseEmaFilter,InpEma200Period,InpMinRangePct,InpMaxRangePct,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose
56,906.11,4.95142,1.40702,1.56285,20.80861,5.5539,183,0,1.0,50,1,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1,1,1,9,21,0,0,50,0,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
48,1442.88,12.12504,1.59391,2.88052,27.72101,4.7508,119,0,1.0,0,1,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1,1,1,9,21,0,0,50,0,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
32,824.04,6.92471,1.16865,0.69209,5.71948,9.9877,119,0,1.0,0,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1,1,1,9,21,0,0,50,0,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
40,824.04,6.92471,1.16865,0.69209,5.71948,9.9877,119,0,1.0,50,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1,1,1,9,21,0,0,50,0,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
24,653.25,2.06725,1.14851,0.80359,8.69256,7.8494,316,0,1.0,50,1,0,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1,1,1,9,21,0,0,50,0,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
0,679.47,3.16033,1.07760,0.54271,2.61297,11.3290,215,0,1.0,0,0,0,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1,1,1,9,21,0,0,50,0,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
16,1354.52,6.30009,1.27623,1.75919,14.99514,7.3261,215,0,1.0,0,1,0,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1,1,1,9,21,0,0,50,0,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
8,679.47,3.16033,1.07760,0.54271,2.61297,11.3290,215,0,1.0,50,0,0,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1,1,1,9,21,0,0,50,0,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
25,610.56,1.89615,1.06933,0.38775,4.74051,14.6172,322,1,1.0,50,1,0,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1,1,1,9,21,0,0,50,0,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
1,1186.13,5.51688,1.07868,0.44393,4.21916,21.1637,215,1,1.0,0,0,0,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,1,1,1,9,21,0,0,50,0,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
