Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpUseEma200Filter,InpMinRangePct,InpRangeStartHour,InpRangeStartMin,InpRangeEndHour,InpRangeEndMin,InpEndHour,InpEndMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpEntryPoints,InpK,InpAllowLong,InpAllowShort,InpSLMode,InpExecTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP_R,InpTPMode,InpTPRangeMult,InpTP1Pct,InpBreakeven,InpUseTrailEMA,InpEmaFast,InpEmaSlow,InpExitOnEmaClose,InpUseCloseConfirm,InpMinBodyPct,InpUseEmaFilter,InpEma200Period,InpMaxRangePct,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose
2,1473.98,12.81722,1.22808,2.08339,3.41578,6.5367,115,0,0.2,7,0,8,5,20,50,1,1,600,10,1,1,1,0,5,14,1.5,1000,2,0,1.5,0,0,0,9,21,0,0,50,0,50,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
3,177.69,1.83186,1.03343,0.12621,0.51161,12.9401,97,1,0.2,7,0,8,5,20,50,1,1,600,10,1,1,1,0,5,14,1.5,1000,2,0,1.5,0,0,0,9,21,0,0,50,0,50,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
1,2403.44,16.92563,1.28045,1.90977,4.34328,10.0322,142,1,0.0,7,0,8,5,20,50,1,1,600,10,1,1,1,0,5,14,1.5,1000,2,0,1.5,0,0,0,9,21,0,0,50,0,50,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
0,4914.16,28.73778,1.43709,5.54302,6.71927,6.6497,171,0,0.0,7,0,8,5,20,50,1,1,600,10,1,1,1,0,5,14,1.5,1000,2,0,1.5,0,0,0,9,21,0,0,50,0,50,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
