Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpSLMode,InpTPRangeMult,InpUseEma200Filter,InpMaxRangePct,InpRangeStartHour,InpRangeStartMin,InpRangeEndHour,InpRangeEndMin,InpEndHour,InpEndMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpEntryPoints,InpK,InpAllowLong,InpAllowShort,InpExecTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP_R,InpTPMode,InpTP1Pct,InpBreakeven,InpUseTrailEMA,InpEmaFast,InpEmaSlow,InpExitOnEmaClose,InpUseCloseConfirm,InpMinBodyPct,InpUseEmaFilter,InpEma200Period,InpMinRangePct,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose
18,1509.88,12.68807,1.17382,0.66851,8.63736,17.0423,119,1,1.0,1,0.8,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
9,1053.48,8.77900,1.10620,0.36829,4.20780,21.3497,120,1,1.5,1,0.0,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
12,1186.13,5.51688,1.07868,0.44393,4.21916,21.1637,215,1,1.0,0,0.8,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
6,1391.35,11.59458,1.15825,0.58847,7.94943,17.8403,120,1,1.0,1,0.0,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
21,1147.08,9.63933,1.11674,0.41600,4.58157,20.5805,119,1,1.5,1,0.8,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
15,1659.61,7.71912,1.09428,0.51616,3.78662,23.1330,215,1,1.5,0,0.8,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
0,1043.17,4.82949,1.06877,0.39042,3.72100,21.1637,216,1,1.0,0,0.0,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
3,1560.31,7.22366,1.08815,0.47074,3.56380,23.8474,216,1,1.5,0,0.0,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
16,4818.40,22.41116,1.15887,0.48171,6.92368,45.1316,215,2,1.5,0,0.8,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
13,1873.21,8.71260,1.08328,0.37135,4.60231,39.1970,215,2,1.0,0,0.8,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
1,1720.83,7.96681,1.07613,0.33299,4.24843,39.1970,216,2,1.0,0,0.0,14,30,14,45,21,0,1,1,600,10,1,1,0,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
