Simbolo,Timeframe,Barre,PrimaDataLocale,PrimaDataServer,Verdetto
D30EUR,M1,642270,2024.09.26,2024.09.26,IL BROKER NON HA PIU' STORICO
D30EUR,M5,129666,2024.09.26,2024.09.26,IL BROKER NON HA PIU' STORICO
D30EUR,TICK,35408137,2024.09.26,-,TICK REALI PARZIALI
