Simbolo,Timeframe,Barre,PrimaDataLocale,PrimaDataServer,Verdetto
NASUSD,M1,660018,2024.09.26,2024.09.26,IL BROKER NON HA PIU' STORICO
NASUSD,M5,132017,2024.09.26,2024.09.26,IL BROKER NON HA PIU' STORICO
NASUSD,TICK,166509474,2024.09.26,-,TICK REALI PARZIALI
