Simbolo,Timeframe,Barre,PrimaDataLocale,PrimaDataServer,Verdetto
U30USD,M1,650255,2024.09.26,2024.09.26,IL BROKER NON HA PIU' STORICO
U30USD,M5,130126,2024.09.26,2024.09.26,IL BROKER NON HA PIU' STORICO
U30USD,TICK,67618571,2024.09.26,-,TICK REALI PARZIALI
