Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpHourStart,InpHourEnd,InpTF,InpLinRegLen,InpPlotMode,InpPlotLen,InpCciPeriod,InpPivotL,InpPivotR,InpPivotSource,InpMaxPivotDist,InpDivMaxBars,InpDivDieOnFail,InpPrevBars,InpEntryWindowBars,InpMarketIfTooClose,InpSLBufferPts,InpTP_R,InpWarmupBars,InpAllowLong,InpAllowShort,InpMaxSpreadPts,InpRiskPercent,InpMagic,InpComment,InpVerbose
0,10113.40,246.66829,1.48003,2.60756,2.09758,3.7237,41,-1.7350,-3153,-3153.18,6,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
2,10314.04,286.50111,1.57382,2.68146,2.26198,3.6748,36,-1.7346,-3126,-3126.16,8,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
8,9955.07,216.41457,1.41198,2.16487,1.87617,4.3968,46,-1.7304,-3168,-3167.56,6,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
6,11295.50,282.38750,1.56219,2.31430,2.24835,4.6629,40,-1.7334,-4157,-4156.53,8,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
4,11070.52,246.01156,1.47714,2.84100,2.09007,3.7258,45,-1.7341,-3168,-3167.56,6,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
12,8130.96,162.61920,1.29676,1.36629,1.43604,5.6501,50,-1.7339,-3166,-3166.34,6,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
14,8359.49,185.76644,1.34335,1.27894,1.54747,6.1535,45,-1.7334,-4220,-4219.77,8,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
10,10174.47,248.15780,1.48274,2.08461,2.02015,4.6629,41,-1.7369,-4157,-4156.53,8,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
1,10818.52,284.69789,1.56482,3.12363,2.30846,3.4453,38,-1.7338,-2981,-2981.38,7,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
5,11781.74,280.51762,1.55308,3.08809,2.28362,3.5665,42,-1.7327,-3148,-3148.41,7,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
3,9344.76,292.02375,1.58027,2.19921,2.27858,3.9788,32,-1.7359,-3193,-3193.48,9,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
13,8840.79,188.10191,1.34566,1.67560,1.59859,4.9575,47,-1.7328,-3199,-3198.62,7,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
11,9204.58,248.77243,1.47821,1.84800,2.01774,4.6639,37,-1.7312,-4243,-4242.52,9,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
7,10314.31,286.50861,1.56514,2.07081,2.26737,4.6639,36,-1.7346,-4243,-4242.52,9,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
9,10666.87,248.06674,1.47842,2.82413,2.06230,3.5667,43,-1.7362,-3148,-3148.41,7,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
15,7435.85,181.36220,1.33050,1.10700,1.50904,6.1983,41,-1.7342,-4304,-4303.65,9,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
