Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpHourStart,InpHourEnd,InpTF,InpLinRegLen,InpPlotMode,InpPlotLen,InpCciPeriod,InpPivotL,InpPivotR,InpPivotSource,InpMaxPivotDist,InpDivMaxBars,InpDivDieOnFail,InpPrevBars,InpEntryWindowBars,InpMarketIfTooClose,InpSLBufferPts,InpTP_R,InpWarmupBars,InpAllowLong,InpAllowShort,InpMaxSpreadPts,InpRiskPercent,InpMagic,InpComment,InpVerbose
12,5426.11,90.43517,1.14328,0.74185,1.01051,6.6035,60,-2.0591,-5043,-5042.76,6,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
8,7763.47,133.85293,1.21481,1.04232,1.46691,6.5799,58,-2.0584,-5152,-5152.32,6,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
6,11446.59,248.83891,1.42862,1.99370,2.73034,4.8993,46,-1.9032,-4607,-4607.25,8,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
2,9676.48,225.03442,1.38595,1.27846,2.62809,6.5966,43,-1.9032,-6119,-6118.52,8,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
0,5754.92,112.84157,1.18027,0.64946,1.29185,7.8478,51,-2.0585,-7427,-7427.24,6,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
14,12297.30,236.48654,1.40601,2.17254,2.55675,5.2795,52,-1.9032,-4646,-4646.13,8,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
4,4629.82,85.73741,1.13481,0.59196,0.97191,6.9552,54,-2.0595,-5848,-5848.05,6,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
10,14787.23,295.74460,1.52059,2.58221,3.12838,5.2825,50,-1.9032,-4748,-4747.51,8,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
3,9528.63,232.40561,1.39872,1.30941,2.89247,6.2349,41,-1.9032,-7041,-7041.30,9,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
13,5552.96,100.96291,1.16014,0.74723,1.08084,6.6018,55,-2.0587,-5122,-5121.78,7,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
7,11286.96,256.52182,1.44200,1.32567,2.97205,7.1069,44,-1.9032,-7224,-7223.99,9,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
9,7898.07,149.02019,1.24021,1.04394,1.56161,6.5769,53,-2.0572,-5236,-5235.78,7,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
11,14625.36,304.69500,1.53710,2.03120,3.38582,5.9104,48,-1.9032,-4810,-4809.87,9,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
15,12148.07,242.96140,1.41694,1.72612,2.75753,5.9049,50,-1.9032,-4703,-4702.87,9,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
1,5877.93,127.78109,1.20531,0.65283,1.39225,7.8472,46,-2.0587,-7548,-7547.68,7,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
5,4763.19,97.20796,1.15326,0.56914,1.05119,7.3976,49,-2.0588,-5854,-5853.54,7,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
