Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpHourStart,InpHourEnd,InpTF,InpLinRegLen,InpPlotMode,InpPlotLen,InpCciPeriod,InpPivotL,InpPivotR,InpPivotSource,InpMaxPivotDist,InpDivMaxBars,InpDivDieOnFail,InpPrevBars,InpEntryWindowBars,InpMarketIfTooClose,InpSLBufferPts,InpTP_R,InpWarmupBars,InpAllowLong,InpAllowShort,InpMaxSpreadPts,InpRiskPercent,InpMagic,InpComment,InpVerbose
4,3800.03,126.66767,1.22276,0.75218,1.50483,4.9193,30,-1.2948,-4353,-4353.17,6,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
8,2118.83,62.31853,1.10550,0.31207,0.78439,6.6114,34,-1.2948,-6380,-6380.01,6,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
10,2792.38,90.07677,1.15440,0.48076,1.17767,5.6557,31,-1.2948,-5402,-5401.69,8,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
12,6706.78,181.26432,1.32582,1.21348,2.26165,5.2215,37,-1.2948,-4481,-4480.78,6,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
2,2964.92,114.03538,1.19834,0.73188,1.37318,3.9447,26,-1.2948,-3352,-3351.80,8,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
0,2271.79,78.33759,1.13360,0.44968,0.92712,4.9193,29,-1.2948,-4353,-4353.17,6,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
6,4502.62,166.76370,1.30012,1.11145,2.02821,3.9447,27,-1.2948,-3352,-3351.80,8,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
14,7401.50,217.69118,1.39892,1.57450,2.82546,4.3633,34,-1.2948,-3420,-3420.48,8,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
13,8960.84,256.02400,1.47801,1.58835,3.10479,5.1204,35,-1.2948,-4574,-4574.18,7,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
5,6022.81,215.10036,1.39799,1.48671,2.44012,3.9447,28,-1.2948,-3352,-3351.80,7,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
9,4289.71,134.05344,1.23501,0.73855,1.63198,5.6557,32,-1.2948,-5402,-5401.69,7,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
1,4453.68,164.95111,1.29536,1.09937,1.85482,3.9447,27,-1.2948,-3352,-3351.80,7,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
15,3842.35,128.07833,1.22684,0.75161,1.64321,5.0909,30,-1.2942,-3311,-3311.01,9,19,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
3,-436.22,-19.82818,0.96761,-0.09453,-0.21326,4.5952,22,-1.2942,-3255,-3254.88,9,16,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
11,-609.34,-22.56815,0.96309,-0.09364,-0.28633,6.4804,27,-1.2942,-5245,-5245.25,9,18,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
7,1049.05,45.61087,1.07759,0.22734,0.50769,4.5952,23,-1.2942,-3255,-3254.88,9,17,16385,11,0,11,20,5,3,0,60,0,0,3,3,1,30,1.5,500,1,1,30,1,772401,EZ TREND,1
