Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpRetestOffsetPts,InpAtrSlMult,InpSessionHour,InpSessionMin,InpRangeMinutes,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpMaxPosSimbolo,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpOCTimeframe,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpFadeOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpTrailFixedPts,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
14,-207.05,-1.03525,0.95446,-0.18026,-1.99843,10.8364,200,-2.0725,-296,-308.79,200,2.5,14,30,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
12,163.54,0.78625,1.03398,0.13300,1.39372,11.2500,208,-2.0444,-294,-310.87,0,2.5,14,30,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
4,-19.99,-0.08506,0.99685,-0.01153,-0.16953,15.4721,235,-3.5143,-370,-461.74,0,1.5,14,30,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
2,-593.50,-2.53632,0.91852,-0.24063,-5.00000,22.4731,234,-5.2009,-613,-612.54,200,1.0,14,30,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
0,-1812.79,-7.64890,0.76273,-0.66789,-5.00000,26.1202,237,-5.2301,-537,-554.61,0,1.0,14,30,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
8,-173.13,-0.77986,0.96905,-0.13076,-1.45649,12.3165,222,-2.6567,-394,-394.46,0,2.0,14,30,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
10,121.38,0.56456,1.02350,0.09972,1.10259,11.1586,215,-2.5746,-315,-368.69,200,2.0,14,30,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
6,142.23,0.62656,1.02394,0.09510,1.23337,13.6358,227,-3.4582,-407,-455.95,200,1.5,14,30,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
15,164.20,0.82100,1.03805,0.16866,1.64343,9.1205,200,-2.0318,-296,-308.54,300,2.5,14,30,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
3,498.86,2.11381,1.07368,0.30251,4.75955,15.1661,236,-5.2354,-503,-616.39,300,1.0,14,30,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
