Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpRiskPercent,InpSessionHour,InpSessionMin,InpRangeMinutes,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpOCTimeframe,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpTrailFixedPts,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
1,-385.08,-0.73912,0.97734,-0.13876,-0.82157,24.4956,521,2,14,30,35,17,30,1,1,2,0,16385,60,500,0,120,1,1,0,0,200,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,0,1.5,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
0,-146.02,-0.28027,0.98238,-0.10480,-0.62790,13.1146,521,1,14,30,35,17,30,1,1,2,0,16385,60,500,0,120,1,1,0,0,200,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,0,1.5,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770201,0,1
