Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpRangeMinutes,InpSlippagePts,InpSessionHour,InpSessionMin,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpOCTimeframe,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpTrailFixedPts,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
10,1833.25,4.16648,1.11022,0.82622,5.06863,15.9227,440,5,200,8,0,17,30,1,1,0,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,500,0,0,1.5,20,0,20,1,1,770101,0,1
0,-524.29,-1.19975,0.96698,-0.23422,-1.67990,19.4940,437,5,0,8,0,17,30,1,1,0,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,500,0,0,1.5,20,0,20,1,1,770101,0,1
14,-9.58,-0.02314,0.99916,-0.00333,-0.03070,25.3766,414,45,200,8,0,17,30,1,1,0,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,500,0,0,1.5,20,0,20,1,1,770101,0,1
4,514.77,1.23446,1.04337,0.23204,1.57334,19.3989,417,45,0,8,0,17,30,1,1,0,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,500,0,0,1.5,20,0,20,1,1,770101,0,1
12,215.58,0.49903,1.01675,0.11083,0.64724,16.4056,432,25,200,8,0,17,30,1,1,0,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,500,0,0,1.5,20,0,20,1,1,770101,0,1
6,-818.84,-1.86524,0.93801,-0.33169,-2.50775,21.3437,439,15,100,8,0,17,30,1,1,0,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,500,0,0,1.5,20,0,20,1,1,770101,0,1
2,630.11,1.45859,1.05025,0.38991,1.82920,13.3195,432,25,0,8,0,17,30,1,1,0,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,500,0,0,1.5,20,0,20,1,1,770101,0,1
8,949.36,2.24967,1.07791,0.43519,2.86837,18.3835,422,35,100,8,0,17,30,1,1,0,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,500,0,0,1.5,20,0,20,1,1,770101,0,1
15,793.29,1.80704,1.04845,0.28376,2.32365,20.7864,439,5,300,8,0,17,30,1,1,0,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,500,0,0,1.5,20,0,20,1,1,770101,0,1
11,449.19,1.02555,1.03385,0.23406,1.29223,15.7157,438,15,200,8,0,17,30,1,1,0,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,500,0,0,1.5,20,0,20,1,1,770101,0,1
