Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpRetestOffsetPts,InpAtrSlMult,InpSessionHour,InpSessionMin,InpRangeMinutes,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpMaxPosSimbolo,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpOCTimeframe,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpFadeOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpTrailFixedPts,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
0,-1969.99,-6.08022,0.80652,-0.76859,-5.00000,24.7084,324,-1.1517,-729,-729.45,0,1.0,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770101,0,1
2,-1048.44,-3.27637,0.89794,-0.38870,-5.00000,23.9367,320,-1.2829,-715,-715.44,200,1.0,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770101,0,1
4,-83.36,-0.26132,0.99080,-0.03626,-0.55766,20.7501,319,-1.1517,-600,-599.94,0,1.5,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770101,0,1
6,-291.02,-0.94181,0.96678,-0.11712,-2.03548,22.1446,309,-1.0539,-1089,-1088.58,200,1.5,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770101,0,1
10,349.22,1.21257,1.04659,0.18535,2.32074,16.8477,288,-1.0962,-560,-559.63,200,2.0,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770101,0,1
8,525.75,1.74668,1.06487,0.25586,3.29105,17.8582,301,-1.1158,-755,-754.73,0,2.0,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770101,0,1
14,495.80,1.80291,1.07596,0.31649,3.23788,14.7258,275,-1.0377,-713,-713.43,200,2.5,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770101,0,1
12,457.99,1.61834,1.06627,0.29818,2.88754,13.9780,283,-1.0638,-719,-718.51,0,2.5,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770101,0,1
1,-1381.36,-4.26346,0.86432,-0.58898,-5.00000,21.9628,324,-1.2789,-684,-683.65,100,1.0,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770101,0,1
3,-937.20,-3.00385,0.90500,-0.42751,-5.00000,20.4522,312,-1.1829,-643,-643.49,300,1.0,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770101,0,1
5,-250.51,-0.80550,0.97154,-0.10950,-1.69218,20.6650,311,-1.1164,-1085,-1084.52,100,1.5,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770101,0,1
7,132.52,0.43592,1.01527,0.06565,0.91828,18.2325,304,-1.1177,-562,-562.22,300,1.5,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770101,0,1
11,655.63,2.32493,1.09092,0.41006,4.33422,14.5142,282,-1.1999,-593,-593.14,300,2.0,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770101,0,1
15,734.00,2.71852,1.11753,0.56364,4.89972,12.3578,270,-1.0704,-399,-398.67,300,2.5,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770101,0,1
9,32.41,0.11099,1.00412,0.01440,0.20670,19.7999,292,-1.1144,-572,-571.99,100,2.0,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770101,0,1
13,111.79,0.40357,1.01629,0.07021,0.72584,14.6707,277,-1.0548,-565,-564.65,100,2.5,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,1,0,0,0,30,0,1,150,1.5,0,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,1,14,1,50,1,0,1,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,1,770101,0,1
