"Simbolo","Che","Anno","Esito","Byte","Url","Fase"
"USA30IDXUSD","Dow Jones 30","2025","OK","49445","https://datafeed.dukascopy.com/datafeed/USA30IDXUSD/2025/05/16/15h_ticks.bi5","1-esiste?"
"US30IDXUSD","Dow (grafia alt. 1)","2025","ERRORE 503 Errore del server remoto: (503) Server non disponibile.","0","https://datafeed.dukascopy.com/datafeed/US30IDXUSD/2025/05/19/15h_ticks.bi5","1-esiste?"
"USA30USD","Dow (grafia alt. 2)","2025","ERRORE 503 Errore del server remoto: (503) Server non disponibile.","0","https://datafeed.dukascopy.com/datafeed/USA30USD/2025/05/16/15h_ticks.bi5","1-esiste?"
"DJIIDXUSD","Dow (grafia alt. 3)","2025","ERRORE 503 Errore del server remoto: (503) Server non disponibile.","0","https://datafeed.dukascopy.com/datafeed/DJIIDXUSD/2025/05/16/15h_ticks.bi5","1-esiste?"
"WS30IDXUSD","Dow (grafia alt. 4)","2025","ERRORE 503 Errore del server remoto: (503) Server non disponibile.","0","https://datafeed.dukascopy.com/datafeed/WS30IDXUSD/2025/05/16/15h_ticks.bi5","1-esiste?"
"USA2000IDXUSD","Russell 2000 (controllo di schema)","2025","ERRORE 503 Errore del server remoto: (503) Server non disponibile.","0","https://datafeed.dukascopy.com/datafeed/USA2000IDXUSD/2025/05/16/15h_ticks.bi5","1-esiste?"
"USATECHIDXUSD","Nasdaq 100","2025","ERRORE 503 Errore del server remoto: (503) Server non disponibile.","0","https://datafeed.dukascopy.com/datafeed/USATECHIDXUSD/2025/05/16/15h_ticks.bi5","1-esiste?"
"USA500IDXUSD","S&P 500","2025","ERRORE 503 Errore del server remoto: (503) Server non disponibile.","0","https://datafeed.dukascopy.com/datafeed/USA500IDXUSD/2025/05/16/15h_ticks.bi5","1-esiste?"
"DEUIDXEUR","DAX 40","2025","ERRORE 503 Errore del server remoto: (503) Server non disponibile.","0","https://datafeed.dukascopy.com/datafeed/DEUIDXEUR/2025/05/16/15h_ticks.bi5","1-esiste?"
"GERIDXEUR","DAX (nome alternativo)","2025","ERRORE 503 Errore del server remoto: (503) Server non disponibile.","0","https://datafeed.dukascopy.com/datafeed/GERIDXEUR/2025/05/16/15h_ticks.bi5","1-esiste?"
"JPNIDXJPY","Nikkei 225","2025","ERRORE 503 Errore del server remoto: (503) Server non disponibile.","0","https://datafeed.dukascopy.com/datafeed/JPNIDXJPY/2025/05/16/15h_ticks.bi5","1-esiste?"
"EUSIDXEUR","Euro Stoxx 50","2025","ERRORE 503 Errore del server remoto: (503) Server non disponibile.","0","https://datafeed.dukascopy.com/datafeed/EUSIDXEUR/2025/05/16/15h_ticks.bi5","1-esiste?"
"GBRIDXGBP","FTSE 100","2025","ERRORE 503 Errore del server remoto: (503) Server non disponibile.","0","https://datafeed.dukascopy.com/datafeed/GBRIDXGBP/2025/05/16/15h_ticks.bi5","1-esiste?"
"FRAIDXEUR","CAC 40","2025","ERRORE 503 Errore del server remoto: (503) Server non disponibile.","0","https://datafeed.dukascopy.com/datafeed/FRAIDXEUR/2025/05/16/15h_ticks.bi5","1-esiste?"
"EURUSD","<<< CONTROLLO POSITIVO >>>","2025","ERRORE 503 Errore del server remoto: (503) Server non disponibile.","0","https://datafeed.dukascopy.com/datafeed/EURUSD/2025/05/16/15h_ticks.bi5","1-esiste?"
"USA30IDXUSD","Dow Jones 30","2008","ERRORE 503 Errore del server remoto: (503) Server non disponibile.","0","https://datafeed.dukascopy.com/datafeed/USA30IDXUSD/2008/05/16/15h_ticks.bi5","2-scala"
"USA30IDXUSD","Dow Jones 30","2010","ERRORE 503 Errore del server remoto: (503) Server non disponibile.","0","https://datafeed.dukascopy.com/datafeed/USA30IDXUSD/2010/05/15/15h_ticks.bi5","2-scala"
"USA30IDXUSD","Dow Jones 30","2012","ERRORE 503 Errore del server remoto: (503) Server non disponibile.","0","https://datafeed.dukascopy.com/datafeed/USA30IDXUSD/2012/05/15/15h_ticks.bi5","2-scala"
"USA30IDXUSD","Dow Jones 30","2015","ERRORE 503 Errore del server remoto: (503) Server non disponibile.","0","https://datafeed.dukascopy.com/datafeed/USA30IDXUSD/2015/05/15/15h_ticks.bi5","2-scala"
"USA30IDXUSD","Dow Jones 30","2018","ERRORE 503 Errore del server remoto: (503) Server non disponibile.","0","https://datafeed.dukascopy.com/datafeed/USA30IDXUSD/2018/05/15/15h_ticks.bi5","2-scala"
"USA30IDXUSD","Dow Jones 30","2020","ERRORE 503 Errore del server remoto: (503) Server non disponibile.","0","https://datafeed.dukascopy.com/datafeed/USA30IDXUSD/2020/05/15/15h_ticks.bi5","2-scala"
"USA30IDXUSD","Dow Jones 30","2022","ERRORE 503 Errore del server remoto: (503) Server non disponibile.","0","https://datafeed.dukascopy.com/datafeed/USA30IDXUSD/2022/05/15/15h_ticks.bi5","2-scala"
"USA30IDXUSD","Dow Jones 30","2024","ERRORE 503 Errore del server remoto: (503) Server non disponibile.","0","https://datafeed.dukascopy.com/datafeed/USA30IDXUSD/2024/05/17/15h_ticks.bi5","2-scala"
"USA30IDXUSD","Dow Jones 30","2025","ERRORE 503 Errore del server remoto: (503) Server non disponibile.","0","https://datafeed.dukascopy.com/datafeed/USA30IDXUSD/2025/05/16/15h_ticks.bi5","2-scala"
