close_time;symbol;magic;position_id;deal_type;volume;price;net_profit
2025.08.28 12:32:31;XAUUSD;772325;10;1;0.60;3405.28;1263.30
2025.09.22 18:53:24;XAUUSD;772325;13;1;0.24;3747.04;1484.00
2025.12.12 09:05:41;XAUUSD;772325;19;1;0.24;4292.05;1378.75
2026.01.09 00:05:00;XAUUSD;772325;22;1;0.11;4477.03;893.87
2026.02.10 00:05:00;XAUUSD;772325;25;1;0.02;5056.25;275.04
2026.02.25 00:05:00;XAUUSD;772325;28;1;0.06;5136.13;650.29
2026.03.18 12:06:26;XAUUSD;772325;34;1;0.14;4953.51;-1046.45
2026.04.02 00:00:00;XAUUSD;772325;40;1;0.05;4776.39;972.46
2026.04.14 01:31:15;XAUUSD;772325;42;1;0.22;4768.01;1519.62
2026.05.04 17:10:45;XAUUSD;772325;47;1;0.11;4501.25;-1051.18
2026.06.05 13:55:02;XAUUSD;772325;55;1;0.15;4415.15;-1071.56
