close_time;symbol;magic;position_id;deal_type;volume;price;net_profit
2025.06.12 00:00:00;EURCAD;772332;2;1;2.22;1.57195;952.32
2025.06.13 00:00:00;EURCAD;772332;4;1;1.20;1.57660;326.32
2025.06.17 18:16:42;EURCAD;772332;6;1;4.61;1.56475;-1061.30
2025.06.20 00:00:00;EURCAD;772332;8;1;1.99;1.57515;412.26
2025.06.24 00:00:00;EURCAD;772332;10;1;2.47;1.59153;1689.62
2025.07.22 00:00:02;EURCAD;772332;13;1;1.91;1.59960;340.94
2025.08.07 00:00:00;EURCAD;772332;15;1;2.22;1.60247;809.65
2025.08.25 00:00:00;EURCAD;772332;17;1;1.64;1.61949;164.14
2025.09.15 00:00:00;EURCAD;772332;19;1;2.21;1.62267;-366.33
2025.10.27 00:00:00;EURCAD;772332;22;1;3.27;1.62674;194.25
2025.10.29 02:37:08;EURCAD;772332;24;1;2.31;1.62303;-1045.18
2025.11.18 14:54:50;EURCAD;772332;26;1;2.91;1.62445;-1032.28
2025.11.26 00:00:00;EURCAD;772332;28;1;1.60;1.63067;334.89
2026.03.16 00:00:00;EURCAD;772332;31;1;0.76;1.56736;-693.28
2026.03.18 00:00:00;EURCAD;772332;33;1;1.35;1.58012;334.67
2026.03.25 00:00:00;EURCAD;772332;35;1;0.88;1.59822;112.70
2026.04.15 00:00:00;EURCAD;772332;37;1;2.29;1.62375;167.31
2026.04.28 07:12:48;EURCAD;772332;39;1;2.50;1.59595;-1050.15
2026.06.29 23:59:58;EURCAD;0;44;1;2.98;1.62253;893.40
