Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,Barre Valutate,Ancore,Cont Long,Cont Short,Esaur Long,Esaur Short,Long,Short,Reject,Guardian,Flat Chiusure,Max Trade Giorno,Max Trade Settimana,Ancore Scadute,InpStopAtr,InpUsaGuardian,InpModoAttivazione,InpHvLen,InpHvLookback,InpHvSoglia,InpAncoraBarre,InpAncoraSoloOggi,InpUsaRamoContinuazione,InpUsaRamoEsaurimento,InpAllowLong,InpAllowShort,InpOraInizio,InpMinInizio,InpOraFine,InpMinFine,InpUsaFlatSeduta,InpOraFlat,InpMinFlat,InpAtrLen,InpMinStopPts,InpMT5PerPuntoIndice,InpRR,InpBEatR,InpRiskPercent,InpMaxSpreadPctOfStop,InpMaxTradesPerDay,InpMagic,InpComment,InpVerbose
0,6309.34,203.52710,1.92073,3.01523,18.86989,2.0576,31,-0.6659,-2092,-2092.49,7020,196,23,18,2,4,16,15,16,0,17,1,2,165,1.0,0,0,30,252,50,20,1,1,1,1,1,8,0,20,30,1,21,0,14,25,100,2,0,0.65,2.5,0,784104,HVA,1
2,2177.66,60.49056,1.33304,0.77714,5.74721,2.7860,36,-0.6515,-2211,-2211.11,7020,196,23,18,2,4,19,17,2,0,26,1,3,160,2.0,0,0,30,252,50,20,1,1,1,1,1,8,0,20,30,1,21,0,14,25,100,2,0,0.65,2.5,0,784104,HVA,1
3,-454.05,-12.27162,0.92959,-0.14482,-1.18187,3.1207,37,-0.6482,-1877,-1876.64,7020,196,23,18,2,4,19,18,1,0,30,1,3,159,2.5,0,0,30,252,50,20,1,1,1,1,1,8,0,20,30,1,21,0,14,25,100,2,0,0.65,2.5,0,784104,HVA,1
1,318.49,9.09971,1.03844,0.08227,1.05304,3.8413,35,-0.6527,-2909,-2909.30,7020,196,23,18,2,4,19,16,10,0,23,1,3,161,1.5,0,0,30,252,50,20,1,1,1,1,1,8,0,20,30,1,21,0,14,25,100,2,0,0.65,2.5,0,784104,HVA,1
