"macchina";"terminale";"giorno";"ora_locale";"conto";"ticket";"evento";"tipo";"volume";"simbolo";"prezzo";"ordine_rif"
"DESKTOP-H4D7CAJ";"215D85D7";"20260706";"10:45:30";"50503392";"2625630";"PIAZZATO";"buy stop";"0.07";"XAUUSD";"4204.00";"2625630"
"DESKTOP-H4D7CAJ";"215D85D7";"20260706";"10:47:22";"50503392";"2625639";"PIAZZATO";"sell stop";"0.07";"XAUUSD";"4140.00";"2625639"
"DESKTOP-H4D7CAJ";"215D85D7";"20260706";"10:48:26";"50503392";"2625649";"PIAZZATO";"buy stop";"0.5";"D30EUR";"25912.00";"2625649"
"DESKTOP-H4D7CAJ";"215D85D7";"20260706";"11:30:38";"50503392";"2348466";"ESEGUITO";"sell";"0.07";"XAUUSD";"4140.00";"2625639"
"DESKTOP-H4D7CAJ";"215D85D7";"20260706";"12:18:46";"50503392";"2348889";"ESEGUITO";"buy";"0.07";"XAUUSD";"4150.00";"2626544"
"DESKTOP-H4D7CAJ";"215D85D7";"20260706";"13:16:47";"50503392";"2349149";"ESEGUITO";"sell";"0.5";"D30EUR";"25761.10";"2626846"
"DESKTOP-H4D7CAJ";"215D85D7";"20260706";"23:07:16";"50503392";"";"FALLITO";"cancel order #2625649 buy stop 0.5 D30EUR at 25912.00 sl: 25800.00 tp: 26100.00 [Market closed]";"";"";"";""
"DESKTOP-H4D7CAJ";"215D85D7";"20260706";"23:07:24";"50503392";"";"FALLITO";"cancel order #2625630 buy stop 0.07 XAUUSD at 4204.00 sl: 4194.00 tp: 4230.00 [Market closed]";"";"";"";""
"DESKTOP-H4D7CAJ";"215D85D7";"20260706";"23:08:24";"50503392";"";"FALLITO";"cancel order #2625630 buy stop 0.07 XAUUSD at 4204.00 sl: 4194.00 tp: 4230.00 [Market closed]";"";"";"";""
"DESKTOP-H4D7CAJ";"215D85D7";"20260706";"23:08:29";"50503392";"";"FALLITO";"cancel order #2625630 buy stop 0.07 XAUUSD at 4204.00 sl: 4194.00 tp: 4230.00 [Market closed]";"";"";"";""
"DESKTOP-H4D7CAJ";"215D85D7";"20260706";"23:12:32";"50503392";"";"FALLITO";"buy stop 0.07 XAUUSD at 4178.00 sl: 4168.00 tp: 4198.00 [Market closed]";"";"";"";""
"DESKTOP-H4D7CAJ";"215D85D7";"20260706";"23:29:38";"50503392";"";"FALLITO";"cancel order #2625630 buy stop 0.07 XAUUSD at 4204.00 sl: 4194.00 tp: 4230.00 [Market closed]";"";"";"";""
"DESKTOP-H4D7CAJ";"215D85D7";"20260706";"23:29:44";"50503392";"";"FALLITO";"cancel order #2625649 buy stop 0.5 D30EUR at 25912.00 sl: 25800.00 tp: 26100.00 [Market closed]";"";"";"";""
"DESKTOP-H4D7CAJ";"215D85D7";"20260707";"05:21:07";"50503392";"2355147";"ESEGUITO";"buy";"0.07";"XAUUSD";"4137.32";"2633170"
"DESKTOP-H4D7CAJ";"215D85D7";"20260707";"05:21:07";"50503392";"2355146";"ESEGUITO";"buy";"0.07";"XAUUSD";"4137.32";"2633169"
"DESKTOP-H4D7CAJ";"215D85D7";"20260707";"05:24:38";"50503392";"2355150";"ESEGUITO";"sell";"0.07";"XAUUSD";"4132.44";"2633175"
"DESKTOP-H4D7CAJ";"215D85D7";"20260707";"05:43:34";"50503392";"2355262";"ESEGUITO";"sell";"0.07";"XAUUSD";"4127.85";"2633287"
"DESKTOP-H4D7CAJ";"215D85D7";"20260707";"06:20:03";"50503392";"2355657";"ESEGUITO";"sell";"0.07";"XAUUSD";"4132.41";"2633690"
"DESKTOP-H4D7CAJ";"215D85D7";"20260707";"19:00:39";"50503392";"2376808";"ESEGUITO";"buy";"0.07";"XAUUSD";"4145.63";"2647374"
"DESKTOP-H4D7CAJ";"215D85D7";"20260707";"19:21:48";"50503392";"2376851";"ESEGUITO";"buy";"0.07";"XAUUSD";"4143.55";"2647418"
"DESKTOP-H4D7CAJ";"215D85D7";"20260707";"19:31:40";"50503392";"2376869";"ESEGUITO";"sell";"0.07";"XAUUSD";"4148.03";"2647436"
"DESKTOP-H4D7CAJ";"215D85D7";"20260707";"19:48:41";"50503392";"2376911";"ESEGUITO";"buy";"0.07";"XAUUSD";"4146.50";"2647479"
"DESKTOP-H4D7CAJ";"215D85D7";"20260707";"20:10:11";"50503392";"2376957";"ESEGUITO";"sell";"0.07";"XAUUSD";"4141.02";"2647527"
"DESKTOP-H4D7CAJ";"215D85D7";"20260707";"21:47:05";"50503392";"2377483";"ESEGUITO";"sell";"0.07";"XAUUSD";"4111.24";"2648043"
"DESKTOP-H4D7CAJ";"215D85D7";"20260707";"22:26:03";"50503392";"2377573";"ESEGUITO";"buy";"0.07";"XAUUSD";"4110.41";"2648133"
"DESKTOP-H4D7CAJ";"215D85D7";"20260713";"00:40:36";"50503392";"2423389";"ESEGUITO";"sell";"0.07";"XAUUSD";"4079.88";"2705345"
"DESKTOP-H4D7CAJ";"215D85D7";"20260715";"09:54:12";"50503392";"2464433";"ESEGUITO";"buy";"0.5";"USOIL";"80.530";"2794553"
"DESKTOP-H4D7CAJ";"215D85D7";"20260715";"09:54:12";"50503392";"2464432";"ESEGUITO";"buy";"0.5";"USOIL";"80.530";"2794547"
"DESKTOP-H4D7CAJ";"215D85D7";"20260715";"09:54:12";"50503392";"2464431";"ESEGUITO";"buy";"0.5";"USOIL";"80.530";"2794535"
"DESKTOP-H4D7CAJ";"215D85D7";"20260715";"10:14:08";"50503392";"2464845";"ESEGUITO";"buy";"0.01";"XAUUSD";"4017.86";"2795462"
"DESKTOP-H4D7CAJ";"215D85D7";"20260715";"10:29:01";"50503392";"2464979";"ESEGUITO";"sell";"0.5";"USOIL";"80.070";"2795598"
"DESKTOP-H4D7CAJ";"215D85D7";"20260715";"10:29:01";"50503392";"2464978";"ESEGUITO";"sell";"0.5";"USOIL";"80.070";"2795597"
"DESKTOP-H4D7CAJ";"215D85D7";"20260715";"10:29:01";"50503392";"2464977";"ESEGUITO";"sell";"0.5";"USOIL";"80.070";"2795596"
"DESKTOP-H4D7CAJ";"215D85D7";"20260715";"10:36:31";"50503392";"2465181";"ESEGUITO";"buy";"0.3";"D30EUR";"25001.60";"2795798"
"DESKTOP-H4D7CAJ";"215D85D7";"20260715";"11:59:24";"50503392";"2465798";"ESEGUITO";"sell";"0.3";"D30EUR";"24934.10";"2796461"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"13:48:51";"50503392";"2482071";"ESEGUITO";"buy";"0.03";"XAUUSD";"4041.50";"2813457"
"DESKTOP-H4D7CAJ";"215D85D7";"20260716";"14:04:37";"50503392";"2482634";"ESEGUITO";"buy";"0.02";"XAUUSD";"4043.06";"2813991"
