Pass,Simbolo,Periodo,Attraversamenti Grezzi Long,Attraversamenti Grezzi Short,Attraversamenti Eseguibili Long,Attraversamenti Eseguibili Short,Giorni Contati,Eseguibili Al Giorno Long,Eseguibili Al Giorno Short,Eseguibili Al Giorno Totale,Grezzi Al Giorno Totale,C1 Esito,Mfe Mediana Long Punti Indice,Mfe Mediana Short Punti Indice,Mae Mediana Long Punti Indice,Mae Mediana Short Punti Indice,Rr Da Mediane Long,Rr Da Mediane Short,Win Rate Necessario Long Pct,Win Rate Necessario Short Pct,Mfe Su Spread Long,Mfe Su Spread Short,Spread Misurato Punti Indice,Soglia C3 Punti Indice,C3 Esito Long,C3 Esito Short,C5 Esito Long,C5 Esito Short,Chiuse Long,Chiuse Short,Convergute Long,Convergute Short,Non Convergute Long Pct,Non Convergute Short Pct,Non Convergute Totale Pct,Uscite Fine Sessione Long,Uscite Fine Sessione Short,Uscite Tetto Barre Long,Uscite Tetto Barre Short,Uscite Fine Corsa Escluse,C6 Esito,Max Eseguibili Giorno Long,Max Eseguibili Giorno Short,Max Eseguibili Giorno Totale,Rischio Aperto Max Pct,C7 Cap Necessario,Giorni Almeno 2 Eseguibili,Giorni Zero Eseguibili,Tenuta Mediana Long Barre,Tenuta Mediana Short Barre,Tenuta Mediana Totale Barre,Sotto 60 Secondi Pct,C8 Esito,Mfe Orizzonte Mediana Long,Mfe Orizzonte Mediana Short,Mae Orizzonte Mediana Long,Mae Orizzonte Mediana Short,Movimento Orizzonte Mediano Long,Movimento Orizzonte Mediano Short,Orizzonte Completo Long,Orizzonte Completo Short,Orizzonte Incompleto Long,Orizzonte Incompleto Short,Barre Valutate,Barre Fuori Finestra,Barre Saltate Dati,Valutazioni Metro Mancante Segnale,Valutazioni Perse Buco Finestra,Valutazioni Con Solo Metro,Barre Senza Z Con Posizione Aperta,Z Non Calcolabile,Giorni Spaiati,Giorni Spaiati Pct,C2 Esito,Attraversamenti Ingresso Fuori Finestra,Attraversamenti Prima Barra Sessione,Occupato Stesso Lato Long,Occupato Stesso Lato Short,Scartati Occupato Altro Lato Collaudo,Atr Mediano Punti Indice,Atr Divergenza Rel Media Pct,Punto Indice Prezzo,Metro Prima Barra Epoch,Gamba Prima Barra Epoch,Campioni Troncati,Autotest Falliti,Autotest Blocchi,Finestra N,Soglia Ingresso Sigma,Soglia Uscita Sigma,Modo Spread,Modo Z Score,Barre Max Tenuta,Barre Orizzonte,Lato Attivo,Giorni Festa Metro,Giorni Metro Zero Calendario,Ingressi Barra Reale Fuori,Chiuse Zero Barre,InpFinestraN,InpSogliaIngressoSigma,InpSimboloMetro,InpModoSpread,InpModoZScore,InpSogliaUscitaSigma,InpOraInizioServer,InpMinInizioServer,InpOraFineServer,InpMinFineServer,InpBarreMaxTenuta,InpBarreOrizzonte,InpLato,InpPuntiPerIndice,InpAtrPeriod,InpAtrModoRma,InpWarmupBarre,InpConfrontaMT5,InpScriviCsv,InpVerbose,InpAutoTest,InpTag
46,NASUSD,PERIOD_M5,1506,1431,818,786,450,1.818,1.747,3.564,6.527,1,37.200,36.850,40.150,41.700,0.9265,0.8837,55.80,57.07,20.667,20.472,1.80,5.40,2,2,1,1,818,786,668,648,18.34,17.56,17.96,150,138,0,0,0,2,5,4,8,5.20,1,436,3,12.00,13.00,12.00,0.00,2,64.100,65.100,59.850,61.450,12.500,-4.950,648,634,170,152,38715,80974,0,1,53,53,0,0,1,0.22,1,32,145,671,630,0,26.1643,0.0000,1.00000,1727367000,1727368500,0,0,25,40,1.350,0.050,0,0,120,24,0,1,0,30,0,40,1.35,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
68,NASUSD,PERIOD_M5,1098,1068,614,605,450,1.364,1.344,2.709,4.813,1,44.850,41.000,43.200,45.500,1.0382,0.9011,52.74,56.55,24.917,22.778,1.80,5.40,2,2,1,1,614,605,481,477,21.66,21.16,21.41,133,128,0,0,0,2,5,4,7,4.55,1,411,7,14.00,15.00,15.00,0.00,2,71.200,62.350,60.800,66.100,14.600,-7.000,509,506,105,99,38715,80974,0,1,53,53,0,0,1,0.22,1,19,137,474,454,0,26.2643,0.0000,1.00000,1727367000,1727368500,0,0,25,50,1.650,0.050,0,0,120,24,0,1,0,13,0,50,1.65,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
3,NASUSD,PERIOD_M5,2272,2266,1478,1493,450,3.284,3.318,6.602,10.084,1,27.600,27.500,29.850,28.700,0.9246,0.9582,55.86,54.90,15.333,15.278,1.80,5.40,2,2,1,1,1478,1493,1313,1327,11.16,11.12,11.14,165,166,0,0,0,2,8,8,16,10.40,1,447,3,8.00,8.00,8.00,0.00,1,57.850,61.300,55.700,56.900,10.100,-3.900,1086,1095,392,398,38715,80974,0,1,50,43,0,0,1,0.22,1,64,161,767,736,0,26.3929,0.0000,1.00000,1727367000,1727368500,0,0,25,25,0.750,0.050,0,0,120,24,0,1,0,50,0,25,0.75,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
25,NASUSD,PERIOD_M5,1821,1788,1017,1001,450,2.260,2.224,4.484,8.020,1,33.800,33.300,34.900,34.500,0.9685,0.9652,54.61,54.70,18.778,18.500,1.80,5.40,2,2,1,1,1017,1001,854,853,16.03,14.79,15.41,163,148,0,0,0,2,6,7,10,6.50,1,446,3,11.00,11.00,11.00,0.00,1,61.900,61.700,59.000,60.100,12.700,-5.500,778,769,239,232,38715,80974,0,1,53,53,0,0,1,0.22,1,52,148,780,759,0,26.0643,0.0000,1.00000,1727367000,1727368500,0,0,25,35,1.050,0.050,0,0,120,24,0,1,0,46,0,35,1.05,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
47,NASUSD,PERIOD_M5,1327,1372,744,737,450,1.653,1.638,3.291,5.998,1,41.050,40.600,40.400,41.100,1.0161,0.9878,53.32,54.08,22.806,22.556,1.80,5.40,2,2,1,1,744,737,600,592,19.35,19.67,19.51,144,145,0,0,0,2,5,4,7,4.55,1,433,3,12.00,13.00,13.00,0.00,2,66.800,66.500,59.200,60.800,15.300,-6.200,613,611,131,126,38715,80974,0,1,53,53,0,0,1,0.22,1,30,139,571,617,0,26.4000,0.0000,1.00000,1727367000,1727368500,0,0,25,45,1.350,0.050,0,0,120,24,0,1,0,28,0,45,1.35,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
69,NASUSD,PERIOD_M5,1008,1055,575,583,450,1.278,1.296,2.573,4.584,1,45.800,43.600,45.900,46.900,0.9978,0.9296,53.81,55.71,25.444,24.222,1.80,5.40,2,2,1,1,575,583,439,446,23.65,23.50,23.58,136,137,0,0,0,2,5,5,8,5.20,1,399,6,15.00,16.00,16.00,0.00,2,68.700,63.200,63.350,69.400,9.450,-7.600,468,478,107,105,38715,80974,0,1,53,53,0,0,1,0.22,1,13,132,425,467,0,26.4214,0.0000,1.00000,1727367000,1727368500,0,0,25,55,1.650,0.050,0,0,120,24,0,1,0,8,0,55,1.65,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
4,NASUSD,PERIOD_M5,2025,2099,1282,1311,450,2.849,2.913,5.762,9.164,1,29.950,29.300,31.950,30.100,0.9374,0.9734,55.49,54.47,16.639,16.278,1.80,5.40,2,2,1,1,1282,1311,1108,1142,13.57,12.89,13.23,174,169,0,0,0,2,7,8,15,9.75,1,447,3,9.00,9.00,9.00,0.00,1,59.900,61.450,60.600,59.450,10.800,-3.950,939,986,343,325,38715,80974,0,1,53,53,0,0,1,0.22,1,55,147,720,756,0,26.1143,0.0000,1.00000,1727367000,1727368500,0,0,25,30,0.750,0.050,0,0,120,24,0,1,0,49,0,30,0.75,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
26,NASUSD,PERIOD_M5,1642,1690,913,913,450,2.029,2.029,4.058,7.404,1,35.700,35.200,37.600,36.700,0.9495,0.9591,55.14,54.87,19.833,19.556,1.80,5.40,2,2,1,1,913,913,750,765,17.85,16.21,17.03,163,148,0,0,0,2,6,6,9,5.85,1,441,3,11.00,12.00,11.00,0.00,1,61.800,61.000,60.550,63.150,12.950,-6.950,720,732,193,181,38715,80974,0,1,53,53,0,0,1,0.22,1,38,139,717,751,0,26.3929,0.0000,1.00000,1727367000,1727368500,0,0,25,40,1.050,0.050,0,0,120,24,0,1,0,35,0,40,1.05,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
48,NASUSD,PERIOD_M5,1241,1357,691,709,450,1.536,1.576,3.111,5.773,1,40.300,41.900,41.800,39.900,0.9641,1.0501,54.73,52.44,22.389,23.278,1.80,5.40,2,2,1,1,691,709,545,571,21.13,19.46,20.29,146,138,0,0,0,2,6,4,9,5.85,1,430,3,13.00,15.00,14.00,0.00,2,65.800,61.600,59.900,62.300,13.700,-6.650,575,602,116,107,38715,80974,0,1,53,53,0,0,1,0.22,1,29,143,535,634,0,26.5179,0.0000,1.00000,1727367000,1727368500,0,0,25,50,1.350,0.050,0,0,120,24,0,1,0,26,0,50,1.35,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
70,NASUSD,PERIOD_M5,1812,1737,1530,1487,450,3.400,3.304,6.704,7.887,1,23.500,22.800,26.150,24.500,0.8987,0.9306,56.62,55.68,13.056,12.667,1.80,5.40,2,2,1,1,1530,1487,1476,1411,3.53,5.11,4.31,54,76,0,0,0,2,6,6,11,7.15,1,447,2,5.00,5.00,5.00,0.00,1,56.200,59.900,61.000,57.000,9.200,-7.900,1130,1093,400,394,38715,80974,0,1,20,13,0,0,1,0.22,1,60,184,253,219,0,26.3429,0.0000,1.00000,1727367000,1727368500,0,0,25,10,1.800,0.050,0,0,120,24,0,1,0,54,0,10,1.80,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
