Pass,Simbolo,Periodo,Attraversamenti Grezzi Long,Attraversamenti Grezzi Short,Attraversamenti Eseguibili Long,Attraversamenti Eseguibili Short,Giorni Contati,Eseguibili Al Giorno Long,Eseguibili Al Giorno Short,Eseguibili Al Giorno Totale,Grezzi Al Giorno Totale,C1 Esito,Mfe Mediana Long Punti Indice,Mfe Mediana Short Punti Indice,Mae Mediana Long Punti Indice,Mae Mediana Short Punti Indice,Rr Da Mediane Long,Rr Da Mediane Short,Win Rate Necessario Long Pct,Win Rate Necessario Short Pct,Mfe Su Spread Long,Mfe Su Spread Short,Spread Misurato Punti Indice,Soglia C3 Punti Indice,C3 Esito Long,C3 Esito Short,C5 Esito Long,C5 Esito Short,Chiuse Long,Chiuse Short,Convergute Long,Convergute Short,Non Convergute Long Pct,Non Convergute Short Pct,Non Convergute Totale Pct,Uscite Fine Sessione Long,Uscite Fine Sessione Short,Uscite Tetto Barre Long,Uscite Tetto Barre Short,Uscite Fine Corsa Escluse,C6 Esito,Max Eseguibili Giorno Long,Max Eseguibili Giorno Short,Max Eseguibili Giorno Totale,Rischio Aperto Max Pct,C7 Cap Necessario,Giorni Almeno 2 Eseguibili,Giorni Zero Eseguibili,Tenuta Mediana Long Barre,Tenuta Mediana Short Barre,Tenuta Mediana Totale Barre,Sotto 60 Secondi Pct,C8 Esito,Mfe Orizzonte Mediana Long,Mfe Orizzonte Mediana Short,Mae Orizzonte Mediana Long,Mae Orizzonte Mediana Short,Movimento Orizzonte Mediano Long,Movimento Orizzonte Mediano Short,Orizzonte Completo Long,Orizzonte Completo Short,Orizzonte Incompleto Long,Orizzonte Incompleto Short,Barre Valutate,Barre Fuori Finestra,Barre Saltate Dati,Valutazioni Metro Mancante Segnale,Valutazioni Perse Buco Finestra,Valutazioni Con Solo Metro,Barre Senza Z Con Posizione Aperta,Z Non Calcolabile,Giorni Spaiati,Giorni Spaiati Pct,C2 Esito,Attraversamenti Ingresso Fuori Finestra,Attraversamenti Prima Barra Sessione,Occupato Stesso Lato Long,Occupato Stesso Lato Short,Scartati Occupato Altro Lato Collaudo,Atr Mediano Punti Indice,Atr Divergenza Rel Media Pct,Punto Indice Prezzo,Metro Prima Barra Epoch,Gamba Prima Barra Epoch,Campioni Troncati,Autotest Falliti,Autotest Blocchi,Finestra N,Soglia Ingresso Sigma,Soglia Uscita Sigma,Modo Spread,Modo Z Score,Barre Max Tenuta,Barre Orizzonte,Lato Attivo,Giorni Festa Metro,Giorni Metro Zero Calendario,Ingressi Barra Reale Fuori,Chiuse Zero Barre,InpFinestraN,InpSogliaIngressoSigma,InpSimboloMetro,InpModoSpread,InpModoZScore,InpSogliaUscitaSigma,InpOraInizioServer,InpMinInizioServer,InpOraFineServer,InpMinFineServer,InpBarreMaxTenuta,InpBarreOrizzonte,InpLato,InpPuntiPerIndice,InpAtrPeriod,InpAtrModoRma,InpWarmupBarre,InpConfrontaMT5,InpScriviCsv,InpVerbose,InpAutoTest,InpTag
0,D30EUR,PERIOD_M5,3673,3765,2850,2912,441,6.463,6.603,13.066,16.866,1,12.900,13.000,12.750,12.500,1.0118,1.0400,53.44,52.70,4.607,4.643,2.80,8.40,1,1,1,1,2850,2912,2709,2757,4.95,5.32,5.14,141,155,0,0,0,2,11,12,22,14.30,1,438,3,5.00,5.00,5.00,0.00,1,33.950,33.500,33.500,33.900,3.950,-4.750,2114,2134,736,778,38760,77154,0,1057,60,9,750,0,57,12.93,0,86,164,775,815,0,17.1286,0.0000,1.00000,1727367000,1727367000,0,0,25,10,0.750,0.050,0,0,120,24,0,2,0,75,0,10,0.75,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
22,D30EUR,PERIOD_M5,2246,2374,1417,1454,441,3.213,3.297,6.510,10.476,1,18.500,17.700,16.000,18.500,1.1562,0.9568,49.86,54.94,6.607,6.321,2.80,8.40,2,2,1,1,1417,1454,1292,1311,8.82,9.83,9.33,125,143,0,0,0,2,7,9,13,8.45,1,436,4,8.00,9.00,9.00,0.00,1,37.050,36.500,35.500,37.000,5.700,-3.500,1088,1091,329,363,38760,77154,0,1057,120,9,651,0,57,12.93,0,49,132,806,894,0,17.8000,0.0000,1.00000,1727367000,1727367000,0,0,25,20,1.050,0.050,0,0,120,24,0,2,0,40,0,20,1.05,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
44,D30EUR,PERIOD_M5,1548,1661,897,927,441,2.034,2.102,4.136,7.277,1,21.400,21.700,20.600,22.900,1.0388,0.9476,52.73,55.20,7.643,7.750,2.80,8.40,2,2,1,1,897,927,778,772,13.27,16.72,15.02,119,155,0,0,0,2,6,6,9,5.85,1,434,4,11.00,11.00,11.00,0.00,1,35.000,37.450,35.000,36.000,7.000,-4.900,711,712,186,215,38760,77154,0,1057,173,9,515,0,57,12.93,0,36,103,633,716,0,18.1107,0.0000,1.00000,1727367000,1727367000,0,0,25,30,1.350,0.050,0,0,120,24,0,2,0,30,0,30,1.35,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
66,D30EUR,PERIOD_M5,1087,1106,637,636,441,1.444,1.442,2.887,4.973,1,23.900,24.900,24.500,24.700,0.9755,1.0081,54.42,53.53,8.536,8.893,2.80,8.40,2,2,1,1,637,636,518,496,18.68,22.01,20.35,119,140,0,0,0,2,5,4,8,5.20,1,417,6,14.00,14.00,14.00,0.00,2,40.250,41.300,40.500,38.000,8.900,-2.300,516,497,121,139,38760,77154,0,1057,194,9,515,0,57,12.93,0,18,90,442,460,0,18.3571,0.0000,1.00000,1727367000,1727367000,0,0,25,40,1.650,0.050,0,0,120,24,0,2,0,14,0,40,1.65,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
1,D30EUR,PERIOD_M5,2912,2950,2092,2068,441,4.744,4.689,9.433,13.293,1,15.000,15.700,13.650,14.900,1.0989,1.0537,51.22,52.34,5.357,5.607,2.80,8.40,1,1,1,1,2092,2068,1959,1914,6.36,7.45,6.90,133,154,0,0,0,2,10,9,18,11.70,1,438,3,6.00,6.00,6.00,0.00,1,34.400,35.550,35.500,35.150,5.200,-4.150,1558,1528,534,540,38760,77154,0,1057,90,9,779,0,57,12.93,0,61,142,784,857,0,17.4893,0.0000,1.00000,1727367000,1727367000,0,0,25,15,0.750,0.050,0,0,120,24,0,2,0,51,0,15,0.75,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
23,D30EUR,PERIOD_M5,1973,2047,1167,1230,441,2.646,2.789,5.435,9.116,1,19.600,20.050,18.000,20.300,1.0889,0.9877,51.46,54.08,7.000,7.161,2.80,8.40,2,2,1,1,1167,1230,1039,1088,10.97,11.54,11.26,128,142,0,0,0,2,7,8,12,7.80,1,434,4,9.00,10.00,10.00,0.00,1,36.700,37.900,36.500,36.200,5.500,-4.000,895,933,272,297,38760,77154,0,1057,150,9,579,0,57,12.93,0,42,119,782,799,0,17.9571,0.0000,1.00000,1727367000,1727367000,0,0,25,25,1.050,0.050,0,0,120,24,0,2,0,31,0,25,1.05,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
45,D30EUR,PERIOD_M5,1427,1542,805,835,441,1.825,1.893,3.719,6.732,1,21.000,22.700,21.500,23.200,0.9767,0.9784,54.38,54.34,7.500,8.107,2.80,8.40,2,2,1,1,805,835,672,681,16.52,18.44,17.50,133,154,0,0,0,2,6,6,10,6.50,1,434,5,13.00,12.00,12.00,0.00,2,37.500,40.000,37.500,34.300,8.300,0.000,639,642,166,193,38760,77154,0,1057,191,9,546,0,57,12.93,0,26,93,609,694,0,18.1179,0.0000,1.00000,1727367000,1727367000,0,0,25,35,1.350,0.050,0,0,120,24,0,2,0,21,0,35,1.35,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
67,D30EUR,PERIOD_M5,1001,1041,586,569,441,1.329,1.290,2.619,4.630,1,26.150,26.200,24.800,25.000,1.0544,1.0480,52.33,52.49,9.339,9.357,2.80,8.40,2,2,1,1,586,569,462,432,21.16,24.08,22.60,124,137,0,0,0,2,5,4,7,4.55,1,400,7,14.00,15.00,15.00,0.00,2,42.000,40.600,37.500,36.500,9.400,-1.400,467,455,119,114,38760,77154,0,1057,194,9,512,0,57,12.93,0,12,79,411,464,0,18.4643,0.0000,1.00000,1727367000,1727367000,0,0,25,45,1.650,0.050,0,0,120,24,0,2,0,10,0,45,1.65,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
24,D30EUR,PERIOD_M5,1793,1858,1035,1074,441,2.347,2.435,4.782,8.279,1,21.000,21.150,19.600,21.100,1.0714,1.0024,51.90,53.69,7.500,7.554,2.80,8.40,2,2,1,1,1035,1074,901,910,12.95,15.27,14.13,134,164,0,0,0,2,6,8,11,7.15,1,436,4,10.00,11.00,11.00,0.00,1,38.400,37.800,38.900,36.200,5.400,-4.600,812,825,223,249,38760,77154,0,1057,173,9,613,0,57,12.93,0,41,100,732,769,0,18.2500,0.0000,1.00000,1727367000,1727367000,0,0,25,30,1.050,0.050,0,0,120,24,0,2,0,35,0,30,1.05,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
2,D30EUR,PERIOD_M5,2447,2459,1630,1637,441,3.696,3.712,7.408,11.125,1,17.100,17.400,15.000,17.000,1.1400,1.0235,50.23,53.12,6.107,6.214,2.80,8.40,2,2,1,1,1630,1637,1490,1486,8.59,9.22,8.91,140,151,0,0,0,2,8,10,16,10.40,1,436,4,7.00,8.00,8.00,0.00,1,35.700,37.500,35.500,37.000,4.100,-3.500,1226,1227,404,410,38760,77154,0,1057,120,9,743,0,57,12.93,0,64,133,784,791,0,17.7500,0.0000,1.00000,1727367000,1727367000,0,0,25,20,0.750,0.050,0,0,120,24,0,2,0,55,0,20,0.75,U30USD,0,0,0.05,14,30,22,0,120,24,0,100,14,0,300,1,1,1,1,RELATIVO_SONDA
