Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpMagic,InpBoxStartHour,InpBoxStartMin,InpBoxEndHour,InpBoxEndMin,InpPlaceHour,InpPlaceMin,InpCutoffHour,InpCutoffMin,InpCloseAtCutoff,InpAllowLong,InpAllowShort,InpEdgeOffsetPips,InpOneShotPerNight,InpSLpips,InpAtrPeriod,InpSLatrMult,InpTPfrac,InpMaxNightVolPips,InpMinRangePips,InpMaxRangePips,InpBlockNightActive,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMaxSpread,InpVerbose
1,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,771702,22,0,4,59,5,0,7,0,0,1,1,0,1,0,14,1,0.5,45,0,0,1,1,0,abtg_news.csv,3,60,60,0,,NIGHTLY,0,1
0,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,771701,22,0,4,59,5,0,7,0,0,1,1,0,1,0,14,1,0.5,45,0,0,1,1,0,abtg_news.csv,3,60,60,0,,NIGHTLY,0,1
