Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpMagic,InpUsaGuardian,InpBoxStartHour,InpBoxStartMin,InpBoxEndHour,InpBoxEndMin,InpPlaceHour,InpPlaceMin,InpCutoffHour,InpCutoffMin,InpCloseAtCutoff,InpAllowLong,InpAllowShort,InpEdgeOffsetPips,InpOneShotPerNight,InpSLpips,InpAtrPeriod,InpSLatrMult,InpTPfrac,InpMaxNightVolPips,InpMinRangePips,InpMaxRangePips,InpBlockNightActive,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMaxSpread,InpVerbose
0,-408.07,-6.47730,0.89113,-0.34257,-2.32893,11.0988,63,771701,1,22,0,4,59,5,0,7,0,0,1,1,0,1,0,14,1,0.5,45,0,0,1,1,0,abtg_news.csv,3,60,60,0,,NIGHTLY,0,1
1,-408.07,-6.47730,0.89113,-0.34257,-2.32893,11.0988,63,771702,1,22,0,4,59,5,0,7,0,0,1,1,0,1,0,14,1,0.5,45,0,0,1,1,0,abtg_news.csv,3,60,60,0,,NIGHTLY,0,1
