Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpMagic,InpBoxStartHour,InpBoxStartMin,InpBoxEndHour,InpBoxEndMin,InpPlaceHour,InpPlaceMin,InpCutoffHour,InpCutoffMin,InpCloseAtCutoff,InpAllowLong,InpAllowShort,InpEdgeOffsetPips,InpOneShotPerNight,InpSLpips,InpAtrPeriod,InpSLatrMult,InpTPfrac,InpMaxNightVolPips,InpMinRangePips,InpMaxRangePips,InpBlockNightActive,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMaxSpread,InpVerbose
0,-206.26,-1.57450,0.97011,-0.13904,-0.56843,14.1590,131,771701,22,0,4,59,5,0,7,0,0,1,1,0,1,0,14,1,0.5,45,0,0,1,1,0,abtg_news.csv,3,60,60,0,,NIGHTLY,0,1
1,-206.26,-1.57450,0.97011,-0.13904,-0.56843,14.1590,131,771702,22,0,4,59,5,0,7,0,0,1,1,0,1,0,14,1,0.5,45,0,0,1,1,0,abtg_news.csv,3,60,60,0,,NIGHTLY,0,1
