Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,Barre Valutate,Rifiuto Long,Rifiuto Short,Accett Long,Accett Short,Long,Short,Reject,Guardian,Flat Chiusure,InpMagic,InpUsaGuardian,InpBandaLen,InpBandaAtr,InpAtrLen,InpVolFrazione,InpUsaFiltroVolume,InpUsaRamoRifiuto,InpUsaRamoAccettazione,InpAllowLong,InpAllowShort,InpOraInizio,InpMinInizio,InpOraFine,InpMinFine,InpUsaFlatSeduta,InpOraFlat,InpMinFlat,InpStopAtr,InpMinStopPts,InpMT5PerPuntoIndice,InpRR,InpBEatR,InpRiskPercent,InpMaxSpreadPctOfStop,InpMaxTradesPerDay,InpComment,InpVerbose
1,-3374.90,-8.60944,0.97485,-0.16439,-0.58122,19.3534,392,-2.8046,-6553,-6552.83,4485,188,183,1476,1346,188,204,1645,0,114,769950,1,40,0.8,14,0.8,1,1,1,1,1,8,0,20,30,1,21,0,1.5,25,100,2,0,0.65,2.5,0,LVN,1
0,-3374.90,-8.60944,0.97485,-0.16439,-0.58122,19.3534,392,-2.8046,-6553,-6552.83,4485,188,183,1476,1346,188,204,1645,0,114,769900,1,40,0.8,14,0.8,1,1,1,1,1,8,0,20,30,1,21,0,1.5,25,100,2,0,0.65,2.5,0,LVN,1
