Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpEntryPeriod,InpExitPeriod,InpExitMiddle,InpTF,InpEntryShift,InpExitShift,InpRiskPercent,InpMaxSpreadPctSL,InpMagic,InpComment,InpSlippage,InpVerbose
14,30619.42,347.94795,2.01738,4.01426,1.09253,7.0955,88,-3.7589,-3932,-5230.05,60,10,1,16408,1,1,1,10,774301,CanaleLento,10,0
12,28280.67,257.09700,1.72646,3.09046,0.84981,8.6336,110,-3.7117,-4633,-4633.44,40,10,1,16408,1,1,1,10,774301,CanaleLento,10,0
10,33372.11,203.48848,1.53878,2.18837,0.66454,14.5917,164,-3.7695,-5123,-5122.93,20,10,1,16408,1,1,1,10,774301,CanaleLento,10,0
2,-3379.18,-42.77443,0.86006,-0.31288,-0.14723,10.7899,79,-3.6745,-1860,-3047.25,40,10,0,16408,1,1,1,10,774301,CanaleLento,10,0
4,1658.85,27.64750,1.10038,0.23923,0.08918,6.9274,60,-2.9370,-3624,-3623.98,60,10,0,16408,1,1,1,10,774301,CanaleLento,10,0
0,-5573.20,-48.04483,0.85599,-0.36257,-0.16465,15.2664,116,-2.5388,-4795,-4795.14,20,10,0,16408,1,1,1,10,774301,CanaleLento,10,0
8,186.96,3.52755,1.00917,0.01591,0.00621,11.7411,53,-4.6828,-4326,-5252.20,50,20,0,16408,1,1,1,10,774301,CanaleLento,10,0
6,-694.35,-10.52045,0.97212,-0.04792,-0.01707,14.4767,66,-5.8982,-7572,-7572.05,30,20,0,16408,1,1,1,10,774301,CanaleLento,10,0
13,27427.12,274.27120,1.75572,3.24021,0.91798,8.2527,100,-3.7097,-5411,-5511.92,50,10,1,16408,1,1,1,10,774301,CanaleLento,10,0
11,34371.39,272.78881,1.80643,3.09828,0.85351,10.8278,126,-3.7512,-5600,-5599.94,30,10,1,16408,1,1,1,10,774301,CanaleLento,10,0
15,9550.64,74.03597,1.17670,0.81419,0.19044,11.4155,129,-4.9581,-6618,-6617.91,20,20,1,16408,1,1,1,10,774301,CanaleLento,10,0
3,-1095.71,-15.87986,0.94858,-0.12664,-0.05372,8.6439,69,-3.0044,-1943,-3460.27,50,10,0,16408,1,1,1,10,774301,CanaleLento,10,0
1,-1461.38,-16.42000,0.94540,-0.13933,-0.04943,10.4787,89,-5.3111,-3612,-3611.86,30,10,0,16408,1,1,1,10,774301,CanaleLento,10,0
9,1097.09,23.34234,1.06538,0.10937,0.04089,10.0220,47,-4.6289,-5063,-5063.09,60,20,0,16408,1,1,1,10,774301,CanaleLento,10,0
5,-812.26,-9.44488,0.97589,-0.05613,-0.01584,14.4100,86,-5.8919,-5189,-5189.43,20,20,0,16408,1,1,1,10,774301,CanaleLento,10,0
7,-1894.41,-31.57350,0.91717,-0.14143,-0.05713,13.3827,60,-4.7873,-5090,-5089.98,40,20,0,16408,1,1,1,10,774301,CanaleLento,10,0
19,12386.43,187.67318,1.54258,2.15020,0.45752,5.6028,66,-3.4142,-3801,-3801.05,60,20,1,16408,1,1,1,10,774301,CanaleLento,10,0
17,3705.35,43.08547,1.11338,0.39103,0.12135,9.4182,86,-3.4482,-4502,-4501.89,40,20,1,16408,1,1,1,10,774301,CanaleLento,10,0
16,11954.67,123.24402,1.33718,1.27649,0.30187,9.3476,97,-4.8782,-4199,-4198.78,30,20,1,16408,1,1,1,10,774301,CanaleLento,10,0
18,6507.25,84.50974,1.21550,0.79633,0.22410,8.1561,77,-3.3567,-5734,-5733.55,50,20,1,16408,1,1,1,10,774301,CanaleLento,10,0
