Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpSLDailyATRMult,InpTP_R,InpEntryHourServer,InpTF,InpATRPeriodD1,InpCloseHourServer,InpEntryWindowMin,InpUseATRFilter,InpMinDayATR,InpAllowLong,InpAllowShort,InpRiskPercent,InpMagic,InpComment,InpVerbose
0,-33140.58,-66.68125,0.82931,-0.82927,-1.92244,38.9656,497,-1.0227,-5885,-5884.64,0.50,1.0,0,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
21,-36019.80,-72.47445,0.83508,-0.74163,-1.97322,43.7099,497,-1.0228,-5478,-7304.10,0.50,2.5,8,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
12,-17918.44,-36.05320,0.91435,-0.62462,-1.31904,27.2210,497,-1.0233,-6054,-6434.52,0.50,1.0,8,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
18,-29733.65,-59.82626,0.87357,-0.58938,-1.64634,42.4065,497,-1.0238,-6136,-8080.41,0.50,2.0,8,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
9,-51549.34,-103.72101,0.74849,-0.86361,-2.41276,56.7964,497,-1.0243,-8666,-8665.57,0.50,2.5,0,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
15,-35617.63,-71.66525,0.83624,-0.74480,-2.27564,43.1429,497,-1.0223,-5641,-7485.38,0.50,1.5,8,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
3,-39106.75,-78.68561,0.81426,-0.82160,-1.93420,45.7271,497,-1.0231,-8429,-8428.98,0.50,1.5,0,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
6,-50264.75,-101.13632,0.75299,-0.86789,-2.43823,55.6670,497,-1.0249,-8703,-8703.03,0.50,2.0,0,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
1,-27225.16,-54.77899,0.83155,-0.78999,-1.48342,33.1600,497,-1.0686,-7319,-7318.57,0.75,1.0,0,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
22,-30508.14,-61.38459,0.81983,-0.77460,-1.90344,36.4459,497,-1.0416,-3135,-5727.27,0.75,2.5,8,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
19,-31268.49,-62.91447,0.81465,-0.78644,-1.99424,36.9215,497,-1.0459,-3100,-5693.04,0.75,2.0,8,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
13,-31958.68,-64.30318,0.80616,-0.78851,-2.38542,37.6062,497,-1.0433,-3083,-4753.55,0.75,1.0,8,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
16,-32106.70,-64.60101,0.80838,-0.78958,-2.13857,37.7338,497,-1.0463,-3047,-5727.27,0.75,1.5,8,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
4,-35514.99,-71.45873,0.77748,-0.84478,-1.81382,40.3873,497,-1.0625,-7399,-7399.31,0.75,1.5,0,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
7,-38316.21,-77.09499,0.76005,-0.84799,-1.91734,43.3444,497,-1.0683,-7522,-7522.50,0.75,2.0,0,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
10,-39128.89,-78.73016,0.75507,-0.86133,-1.93976,43.6291,497,-1.0676,-7481,-7480.52,0.75,2.5,0,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
23,-29735.35,-59.82968,0.77284,-0.82377,-2.25689,34.2538,497,-1.0133,-2891,-5121.02,1.00,2.5,8,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
2,-31698.12,-63.77891,0.76005,-0.85864,-1.96892,35.8715,497,-1.0869,-4911,-5054.15,1.00,1.0,0,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
14,-26886.92,-54.09843,0.80291,-0.71037,-2.18240,34.4262,497,-1.0154,-3005,-5458.29,1.00,1.0,8,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
20,-29876.43,-60.11354,0.77270,-0.82019,-2.27591,34.5037,497,-1.0185,-2889,-5157.85,1.00,2.0,8,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
5,-33036.75,-66.47233,0.75084,-0.87218,-1.95067,36.7163,497,-1.0876,-4929,-5086.49,1.00,1.5,0,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
17,-28995.73,-58.34151,0.78274,-0.80169,-2.24847,34.0627,497,-1.0131,-2924,-5265.94,1.00,1.5,8,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
8,-35038.56,-70.50012,0.73084,-0.88169,-2.05571,38.5549,497,-1.0868,-4916,-4993.28,1.00,2.0,0,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
11,-35024.94,-70.47272,0.72981,-0.88165,-2.04817,38.5417,497,-1.0888,-4916,-4956.14,1.00,2.5,0,16385,14,22,120,0,1.5,1,1,1,774201,ABTG_TT,0
