Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpBEatR,InpUsaGuardian,InpSessionHour,InpSessionMin,InpRangeMinutes,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpMaxPosSimbolo,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpOCTimeframe,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpAllowReverse,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpUseTrailing,InpTrailStartR,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpTrailFixedPts,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpSpaceMode,InpSpaceTF,InpSpaceMinR,InpSpaceMaxR,InpSpaceEma1,InpSpaceEma2,InpSpaceEma3,InpSpaceEma4,InpSpaceUseST,InpMagic,InpMaxSpread,InpVerbose
0,14355.32,53.16785,1.39520,2.01544,12.41898,7.2506,270,-1.0782,-2795,-2794.68,0.00,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,16388,0,0,14,50,100,200,0,789521,0,1
1,8677.00,34.98790,1.51555,2.48219,13.97792,3.9389,248,-1.0764,-1681,-1723.50,0.15,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,16388,0,0,14,50,100,200,0,789521,0,1
2,7254.30,27.27180,1.25071,1.24774,8.14380,6.4619,266,-1.0801,-1729,-2583.87,0.30,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,16388,0,0,14,50,100,200,0,789521,0,1
3,10951.11,40.55967,1.33981,1.79656,10.86535,6.4891,270,-1.0782,-1732,-2693.22,0.45,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,16388,0,0,14,50,100,200,0,789521,0,1
4,12031.01,44.39487,1.35133,1.69776,11.31660,7.3859,271,-1.0763,-2713,-2712.93,0.60,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,16388,0,0,14,50,100,200,0,789521,0,1
5,12375.14,45.66472,1.34508,1.76883,11.13504,7.2728,271,-1.0748,-2738,-2738.04,0.75,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,16388,0,0,14,50,100,200,0,789521,0,1
6,13734.40,50.68044,1.37994,1.94562,12.00104,7.2343,271,-1.0788,-2766,-2765.64,0.90,1,8,0,35,17,30,1,1,0,2,0,16385,60,500,0,120,1,0,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,0,20,1,0,0,16388,0,0,14,50,100,200,0,789521,0,1
