Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,News Bloccate,News Interrogazioni,News Eventi,InpEngulfLookback,InpSymbols,InpTF,InpMaxTotalPositions,InpAllowTwoCandle,InpMinEngulfBodyPct,InpAllowLong,InpAllowShort,InpEZ1ratio,InpEZ2ratio,InpSLratio,InpUseEZ2,InpMinDistPips,InpAtrPeriod,InpMaxEngulfAtr,InpPendingExpiryBars,InpSLbufferPips,InpTP1_R,InpTP1Pct,InpBreakeven,InpUseTrailing,InpTrailAtrMult,InpRiskPercent,InpFirstFraction,InpUseCutoff,InpCutoffHour,InpCutoffMin,InpFridayClose,InpFridayCloseHour,InpFridayCloseMin,InpUseNewsFilter,InpNewsFile,InpNewsCommon,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsPerCurrency,InpNewsCancelPendings,InpNewsDerogaPips,InpComment,InpMagic,InpMaxSpread,InpVerbose,InpUsaGuardian,InpAutoTest
0,-1887.87,-3.30047,0.79807,-0.78001,-1.38149,23.3254,572,-1.3819,-545,-545.06,0,0,0,8,GBPUSD,16388,1,1,25,1,1,1.88,2.88,4.236,1,50,14,3,6,3,1,50,1,1,2,1,0.3333,1,17,45,1,21,50,0,abtg_news.csv,1,3,60,30,0,0,0,100,R139C,772060,0,1,1,1
1,-1812.88,-3.30818,0.79400,-0.77390,-1.36887,22.5994,548,-1.4266,-356,-364.96,0,0,0,12,GBPUSD,16388,1,1,25,1,1,1.88,2.88,4.236,1,50,14,3,6,3,1,50,1,1,2,1,0.3333,1,17,45,1,21,50,0,abtg_news.csv,1,3,60,30,0,0,0,100,R139C,772060,0,1,1,1
2,-1506.33,-2.70436,0.83078,-0.69312,-1.11315,20.6973,557,-1.4398,-362,-362.31,0,0,0,16,GBPUSD,16388,1,1,25,1,1,1.88,2.88,4.236,1,50,14,3,6,3,1,50,1,1,2,1,0.3333,1,17,45,1,21,50,0,abtg_news.csv,1,3,60,30,0,0,0,100,R139C,772060,0,1,1,1
