Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,News Bloccate,News Interrogazioni,News Eventi,InpEngulfLookback,InpSymbols,InpTF,InpMaxTotalPositions,InpAllowTwoCandle,InpMinEngulfBodyPct,InpAllowLong,InpAllowShort,InpEZ1ratio,InpEZ2ratio,InpSLratio,InpUseEZ2,InpMinDistPips,InpAtrPeriod,InpMaxEngulfAtr,InpPendingExpiryBars,InpSLbufferPips,InpTP1_R,InpTP1Pct,InpBreakeven,InpUseTrailing,InpTrailAtrMult,InpRiskPercent,InpFirstFraction,InpUseCutoff,InpCutoffHour,InpCutoffMin,InpFridayClose,InpFridayCloseHour,InpFridayCloseMin,InpUseNewsFilter,InpNewsFile,InpNewsCommon,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsPerCurrency,InpNewsCancelPendings,InpNewsDerogaPips,InpComment,InpMagic,InpMaxSpread,InpVerbose,InpUsaGuardian,InpAutoTest
0,-331.23,-0.45687,0.97210,-0.16731,-0.18352,17.2937,725,-1.1551,-424,-424.25,0,0,0,8,GBPUSD,16388,1,1,25,1,1,1.88,2.88,4.236,1,50,14,3,6,3,1,50,1,1,2,1,0.3333,1,17,45,1,21,50,0,abtg_news.csv,1,3,60,30,0,0,0,100,R139C,772060,0,1,1,1
1,-688.11,-0.94391,0.94208,-0.35027,-0.37964,17.6974,729,-1.9957,-432,-431.63,0,0,0,12,GBPUSD,16388,1,1,25,1,1,1.88,2.88,4.236,1,50,14,3,6,3,1,50,1,1,2,1,0.3333,1,17,45,1,21,50,0,abtg_news.csv,1,3,60,30,0,0,0,100,R139C,772060,0,1,1,1
2,-597.22,-0.81034,0.95046,-0.31150,-0.32353,17.2106,737,-1.9965,-494,-494.50,0,0,0,16,GBPUSD,16388,1,1,25,1,1,1.88,2.88,4.236,1,50,14,3,6,3,1,50,1,1,2,1,0.3333,1,17,45,1,21,50,0,abtg_news.csv,1,3,60,30,0,0,0,100,R139C,772060,0,1,1,1
