Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpSLBufferPts,InpSlippagePts,InpUsaGuardian,InpRangeStartHour,InpRangeStartMin,InpRangeEndHour,InpRangeEndMin,InpEndHour,InpEndMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpEntryPoints,InpK,InpAllowLong,InpAllowShort,InpSLMode,InpExecTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP_R,InpTPMode,InpTPRangeMult,InpTP1Pct,InpBreakeven,InpUseTrailEMA,InpEmaFast,InpEmaSlow,InpExitOnEmaClose,InpUseCloseConfirm,InpMinBodyPct,InpUseEmaFilter,InpUseEma200Filter,InpEma200Period,InpMinRangePct,InpMaxRangePct,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose,InpAutoTest
0,41057.00,345.01681,1.67419,3.51891,28.49297,9.7623,119,0,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
1,29295.20,246.17815,1.51284,2.60579,23.64901,9.5573,119,500,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
2,28466.13,239.21118,1.55394,3.03227,24.71160,8.0454,119,1000,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
3,27025.12,227.10185,1.57429,3.09757,25.54269,7.5519,119,1500,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
4,26899.30,226.04454,1.62633,3.40727,27.08281,6.8914,119,2000,0,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
5,39336.26,330.55681,1.63826,3.33590,27.38094,9.8820,119,0,50,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
6,33076.19,277.95118,1.57610,3.22646,26.05810,8.7262,119,500,50,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
7,28051.73,235.72882,1.54565,2.97934,24.40940,8.0765,119,1000,50,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
8,26636.88,223.83933,1.56591,3.04709,25.21915,7.5728,119,1500,50,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
9,26442.39,222.20496,1.61524,3.33957,26.67501,6.9175,119,2000,50,1,14,30,14,45,21,0,1,1,600,10,1,1,0,3,5,14,1.5,1000,1,1,1.5,0,1,1,9,21,0,0,50,0,1,200,0,0.8,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,778220,0,0,1
