Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUsaGuardian,InpSessionHour,InpSessionMin,InpRangeMinutes,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpMaxPosSimbolo,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpOCTimeframe,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpAllowReverse,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailStartR,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpTrailFixedPts,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
27,219.99,1.02321,1.05193,0.30099,1.90967,6.6993,215,-1.0538,-205,-213.03,200,0,1,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
28,407.10,1.89349,1.10005,0.61101,3.61579,6.0393,215,-1.0473,-209,-215.67,300,0,1,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
29,68.80,0.32150,1.01657,0.09533,0.62373,6.7134,214,-1.0211,-205,-212.25,400,0,1,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
30,203.66,0.92573,1.04668,0.23267,1.81218,7.9333,220,-1.0413,-217,-217.42,0,2000,1,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
31,-33.36,-0.15164,0.99250,-0.03271,-0.28757,9.3170,220,-1.0715,-205,-215.05,100,2000,1,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
32,219.99,1.02321,1.05193,0.30099,1.90967,6.6993,215,-1.0538,-205,-213.03,200,2000,1,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
33,407.10,1.89349,1.10005,0.61101,3.61579,6.0393,215,-1.0473,-209,-215.67,300,2000,1,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
34,68.80,0.32150,1.01657,0.09533,0.62373,6.7134,214,-1.0211,-205,-212.25,400,2000,1,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
35,-75.08,-0.39936,0.97942,-0.09314,-0.76950,7.5432,188,-1.0376,-211,-210.59,0,4000,1,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
36,-103.36,-0.53833,0.97261,-0.11107,-0.98554,8.6278,192,-1.0402,-205,-210.59,100,4000,1,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
37,63.77,0.33920,1.01782,0.08417,0.61715,7.0279,188,-1.0442,-205,-208.93,200,4000,1,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
38,78.88,0.41735,1.02229,0.11837,0.77577,6.2257,189,-1.0806,-209,-210.57,300,4000,1,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
39,-84.99,-0.44266,0.97677,-0.13757,-0.83662,5.8859,192,-1.0183,-197,-206.09,400,4000,1,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
40,-75.29,-0.56187,0.97001,-0.09551,-1.16139,7.3891,134,-1.0354,-205,-210.59,0,6000,1,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
41,-333.35,-2.38107,0.87858,-0.39281,-4.56182,8.0992,140,-1.0649,-293,-292.64,100,6000,1,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
42,-127.46,-0.89133,0.95231,-0.17352,-1.72224,6.9520,143,-1.0638,-205,-205.48,200,6000,1,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
43,-31.21,-0.21231,0.98788,-0.04743,-0.42130,6.2157,147,-1.0922,-200,-205.99,300,6000,1,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
44,-310.79,-2.11422,0.88542,-0.46218,-4.19771,6.5127,147,-1.0291,-197,-204.80,400,6000,1,1,8,0,35,17,30,1,1,0,0,0,16385,60,500,0,120,1,1,0,0,200,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,1.5,20,0,20,1,0,778230,0,0
