close_time;symbol;magic;position_id;deal_type;volume;price;net_profit
2025.06.13 14:32:39;U30USD;763410;4;0;1.30;42527.20;46.89
2025.06.13 14:32:40;U30USD;763410;4;0;1.40;42527.70;49.88
2025.06.16 15:18:29;U30USD;763410;8;0;3.70;42682.70;-497.10
2025.06.16 15:18:29;U30USD;763410;9;0;5.50;42682.70;-485.52
2025.06.16 20:57:54;U30USD;763410;12;0;1.80;42464.60;90.50
2025.06.16 20:57:54;U30USD;763410;12;0;2.00;42466.60;97.09
2025.06.17 17:59:07;U30USD;763410;18;0;1.80;42361.80;203.16
2025.06.17 17:59:08;U30USD;763410;18;0;2.00;42362.30;224.86
2025.06.18 19:04:57;U30USD;763410;22;0;2.00;42298.10;246.83
2025.06.18 19:05:02;U30USD;763410;22;0;2.10;42301.10;253.72
2025.06.20 16:04:17;U30USD;763410;27;0;5.80;42159.30;995.00
2025.06.20 18:27:04;U30USD;763410;26;0;1.90;42166.80;233.14
2025.06.20 18:27:05;U30USD;763410;26;0;2.00;42168.30;242.81
2025.06.23 12:13:02;U30USD;763410;35;0;2.00;42158.80;208.18
2025.06.23 12:13:35;U30USD;763410;35;0;2.00;42159.30;207.30
2025.06.23 15:18:50;U30USD;763410;36;0;6.00;42423.90;-504.73
2025.06.23 17:02:05;U30USD;763410;41;0;3.10;42199.90;325.34
2025.06.23 17:02:05;U30USD;763410;40;0;2.10;42199.90;136.68
2025.06.23 17:02:14;U30USD;763410;40;0;2.10;42199.90;136.67
2025.06.23 17:02:14;U30USD;763410;41;0;3.20;42199.90;335.81
2025.07.14 10:37:08;U30USD;763410;46;0;2.30;44218.90;37.78
2025.07.14 11:01:05;U30USD;763410;46;0;2.40;44238.90;-1.64
2025.07.14 14:30:00;U30USD;763410;50;0;7.00;44323.30;-507.72
2025.07.14 14:30:00;U30USD;763410;51;0;10.50;44323.30;-510.72
2025.07.16 14:50:39;U30USD;763410;54;0;3.20;44050.90;482.83
2025.07.16 14:50:40;U30USD;763410;54;0;3.30;44051.40;496.50
2025.07.17 09:25:07;U30USD;763410;61;0;3.40;44166.80;242.14
2025.07.17 09:25:07;U30USD;763410;60;0;2.20;44166.80;74.74
2025.07.17 09:25:10;U30USD;763410;60;0;2.30;44167.30;77.14
2025.07.17 09:25:10;U30USD;763410;61;0;3.40;44167.30;240.68
2025.07.17 11:21:20;U30USD;763410;67;0;6.20;44174.30;335.54
2025.07.17 11:21:20;U30USD;763410;66;0;4.00;44174.30;133.62
2025.07.17 11:21:26;U30USD;763410;66;0;4.20;44174.80;138.48
2025.07.17 11:21:26;U30USD;763410;67;0;6.20;44174.80;332.86
2025.07.17 14:07:30;U30USD;763410;72;0;9.70;44276.90;-515.25
2025.07.17 14:07:30;U30USD;763410;73;0;14.60;44276.90;-535.07
2025.07.30 15:00:22;U30USD;763410;76;0;4.20;44665.60;-6.22
2025.07.30 15:00:22;U30USD;763410;76;0;2.20;44666.60;-5.18
2025.07.30 15:00:23;U30USD;763410;76;0;1.10;44666.10;-2.11
2025.07.30 15:00:23;U30USD;763410;76;0;0.50;44666.60;-1.18
2025.07.30 15:00:23;U30USD;763410;76;0;0.20;44667.60;-0.64
2025.07.30 15:00:23;U30USD;763410;76;0;0.20;44667.10;-0.56
2025.07.30 15:00:24;U30USD;763410;76;0;0.10;44667.60;-0.32
2025.07.30 15:00:28;U30USD;763410;76;0;0.10;44664.10;-0.02
2025.07.30 15:23:51;U30USD;763410;77;0;12.90;44731.60;-513.75
2025.07.30 17:16:32;U30USD;763410;87;0;3.50;44662.50;-4.88
2025.07.30 17:16:32;U30USD;763410;87;0;1.70;44663.00;-3.11
2025.07.30 17:16:32;U30USD;763410;87;0;0.90;44662.50;-1.26
2025.07.30 17:16:32;U30USD;763410;87;0;0.40;44663.00;-0.73
2025.07.30 17:16:33;U30USD;763410;87;0;0.20;44663.50;-0.45
2025.07.30 17:16:33;U30USD;763410;87;0;0.10;44664.00;-0.27
2025.07.30 17:16:33;U30USD;763410;87;0;0.10;44664.50;-0.31
2025.07.30 17:37:26;U30USD;763410;88;0;5.20;44665.50;106.08
2025.07.30 17:37:29;U30USD;763410;88;0;5.20;44666.00;103.82
2025.07.30 17:41:14;U30USD;763410;87;0;0.10;44661.00;-0.01
2025.07.30 18:01:19;U30USD;763410;99;0;3.20;44661.50;-4.46
2025.07.30 18:01:20;U30USD;763410;99;0;1.60;44662.50;-3.62
2025.07.30 18:01:20;U30USD;763410;99;0;0.80;44661.50;-1.12
2025.07.30 18:01:21;U30USD;763410;99;0;0.40;44662.50;-0.91
2025.07.30 18:01:25;U30USD;763410;99;0;0.20;44662.00;-0.37
2025.07.30 18:01:25;U30USD;763410;99;0;0.10;44661.50;-0.14
2025.07.30 18:01:25;U30USD;763410;99;0;0.10;44662.00;-0.18
2025.07.30 18:01:33;U30USD;763410;99;0;0.10;44660.50;-0.05
2025.07.30 18:48:01;U30USD;763410;100;0;4.90;44662.50;114.83
2025.07.30 18:48:12;U30USD;763410;100;0;4.90;44663.50;110.57
2025.07.31 10:34:26;U30USD;763410;114;0;2.60;44606.00;195.02
2025.07.31 10:34:26;U30USD;763410;113;0;1.70;44606.00;44.73
2025.07.31 10:35:23;U30USD;763410;113;0;1.80;44607.00;45.78
2025.07.31 10:35:23;U30USD;763410;114;0;2.60;44607.00;192.71
2025.08.06 11:42:05;U30USD;763410;128;0;2.70;44235.30;244.17
2025.08.06 11:42:05;U30USD;763410;127;0;1.80;44235.30;77.28
2025.08.06 11:42:08;U30USD;763410;127;0;1.90;44238.30;76.66
2025.08.06 11:42:08;U30USD;763410;128;0;2.80;44238.30;245.97
2025.08.06 13:06:23;U30USD;763410;133;0;3.20;44241.30;136.25
2025.08.06 13:07:00;U30USD;763410;133;0;3.40;44243.80;137.42
2025.08.06 19:46:31;U30USD;763410;137;0;2.20;44225.00;103.54
2025.08.06 19:46:31;U30USD;763410;137;0;2.20;44226.00;101.65
2025.08.07 00:55:46;U30USD;763410;141;0;1.90;44219.70;86.84
2025.08.07 00:55:52;U30USD;763410;141;0;2.00;44221.20;88.83
2025.08.07 10:23:22;U30USD;763410;145;0;5.10;44393.50;-517.49
2025.08.07 10:23:22;U30USD;763410;146;0;7.70;44393.50;-526.81
2025.08.08 20:50:07;U30USD;763410;151;0;2.60;44118.00;227.38
2025.08.08 20:50:07;U30USD;763410;151;0;2.60;44120.00;222.91
2025.08.11 08:50:55;U30USD;763410;155;0;3.50;44230.40;89.24
2025.08.11 08:51:00;U30USD;763410;155;0;3.60;44231.40;88.70
2025.08.11 09:00:05;U30USD;763410;158;0;3.00;44225.60;-6.70
2025.08.11 09:00:05;U30USD;763410;158;0;1.50;44224.60;-2.06
2025.08.11 09:00:07;U30USD;763410;158;0;0.70;44225.10;-1.26
2025.08.11 09:00:07;U30USD;763410;158;0;0.40;44226.10;-1.06
2025.08.11 09:00:07;U30USD;763410;158;0;0.20;44226.60;-0.62
2025.08.11 09:00:08;U30USD;763410;158;0;0.10;44226.60;-0.31
2025.08.11 09:02:06;U30USD;763410;158;0;0.10;44223.60;-0.05
2025.08.11 13:36:53;U30USD;763410;159;0;4.50;44253.60;11.23
2025.08.11 13:36:56;U30USD;763410;159;0;4.50;44254.10;9.30
2025.09.02 23:52:44;U30USD;763410;169;0;1.50;45240.70;84.94
2025.09.02 23:52:44;U30USD;763410;169;0;1.50;45241.70;83.65
2025.09.03 13:31:02;U30USD;763410;175;0;2.70;45226.60;171.44
2025.09.03 13:31:04;U30USD;763410;175;0;2.70;45228.10;167.96
2025.09.04 12:52:56;U30USD;763410;183;0;2.10;45211.60;111.28
2025.09.04 12:53:05;U30USD;763410;183;0;2.10;45212.10;110.38
2025.09.04 14:31:06;U30USD;763410;187;0;3.70;45212.10;208.64
2025.09.04 14:31:09;U30USD;763410;187;0;3.80;45215.60;202.86
2025.09.04 15:08:58;U30USD;763410;188;0;5.60;45230.10;355.99
2025.09.04 15:08:59;U30USD;763410;188;0;5.70;45231.10;357.45
2025.09.26 12:21:34;U30USD;763410;197;0;2.40;46010.00;149.54
2025.09.26 12:28:31;U30USD;763410;197;0;2.50;46011.00;153.68
2025.09.26 13:30:55;U30USD;763410;201;0;8.00;46162.70;-552.03
2025.09.26 13:30:55;U30USD;763410;202;0;12.00;46162.70;-559.91
2025.10.20 11:47:29;U30USD;763410;214;0;2.10;46245.80;38.20
2025.10.20 11:47:29;U30USD;763410;213;0;1.30;46245.80;-54.54
2025.10.20 11:47:29;U30USD;763410;213;0;0.70;46245.30;-29.07
2025.10.20 11:47:29;U30USD;763410;213;0;0.40;46244.80;-16.44
2025.10.20 11:47:29;U30USD;763410;213;0;0.20;46243.80;-8.05
2025.10.20 11:47:29;U30USD;763410;213;0;0.10;46244.80;-4.11
2025.10.20 11:48:39;U30USD;763410;214;0;2.20;46248.80;34.36
2025.10.20 14:30:48;U30USD;763410;213;0;0.10;46410.00;-18.29
2025.11.05 16:21:43;U30USD;763410;229;0;2.20;47117.30;252.01
2025.11.05 16:21:43;U30USD;763410;229;0;2.20;47120.30;246.26
2025.11.05 18:27:30;U30USD;763410;230;0;6.60;47383.10;-519.10
2025.11.06 10:00:11;U30USD;763410;234;0;2.60;47257.10;-5.87
2025.11.06 10:00:11;U30USD;763410;234;0;1.30;47257.60;-3.50
2025.11.06 10:00:12;U30USD;763410;234;0;0.60;47257.10;-1.35
2025.11.06 10:00:12;U30USD;763410;234;0;0.40;47257.60;-1.08
