Data Ora;Impatto;Valuta;Titolo
2012.05.15 12:30;High;USD;USD1330OKF Retail Sales m/m
2012.06.13 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2012.06.13 12:30;High;USD;USD1330OKF PPI m/m
2012.06.13 12:30;High;USD;USD1330OKF Retail Sales m/m
2012.07.13 12:30;High;USD;USD1330OKF PPI m/m
2012.07.16 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2012.07.16 12:30;High;USD;USD1330OKF Retail Sales m/m
2012.07.27 12:30;High;USD;USD1330OKR Advance GDP q/q
2012.08.14 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2012.08.14 12:30;High;USD;USD1330OKF PPI m/m
2012.08.14 12:30;High;USD;USD1330OKF Retail Sales m/m
2012.09.13 12:30;High;USD;USD1330OKF PPI m/m
2012.09.14 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2012.09.14 12:30;High;USD;USD1330OKF Retail Sales m/m
2012.10.12 12:30;High;USD;USD1330OKF PPI m/m
2012.10.15 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2012.10.15 12:30;High;USD;USD1330OKF Retail Sales m/m
2012.10.26 12:30;High;USD;USD1330OKR Advance GDP q/q
2012.11.14 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2012.11.14 13:30;High;USD;USD1330OKF PPI m/m
2012.11.14 13:30;High;USD;USD1330OKF Retail Sales m/m
2012.12.13 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2012.12.13 13:30;High;USD;USD1330OKF PPI m/m
2012.12.13 13:30;High;USD;USD1330OKF Retail Sales m/m
2013.01.15 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2013.01.15 13:30;High;USD;USD1330OKF PPI m/m
2013.01.15 13:30;High;USD;USD1330OKF Retail Sales m/m
2013.01.30 13:30;High;USD;USD1330OKR Advance GDP q/q
2013.02.13 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2013.02.13 13:30;High;USD;USD1330OKF Retail Sales m/m
2013.02.20 13:30;High;USD;USD1330OKF PPI m/m
2013.03.13 12:30;High;USD;USD1330DSTF Core Retail Sales m/m
2013.03.13 12:30;High;USD;USD1330DSTF Retail Sales m/m
2013.03.14 12:30;High;USD;USD1330DSTF PPI m/m
2013.04.12 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2013.04.12 12:30;High;USD;USD1330OKF PPI m/m
2013.04.12 12:30;High;USD;USD1330OKF Retail Sales m/m
2013.04.26 12:30;High;USD;USD1330OKR Advance GDP q/q
2013.05.13 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2013.05.13 12:30;High;USD;USD1330OKF Retail Sales m/m
2013.05.15 12:30;High;USD;USD1330OKF PPI m/m
