Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpOrder1Atr,InpOrder2Atr,InpTP_RR,InpTF,InpEmaPeriod,InpEma14Period,InpAtrPeriod,InpMinDistAtr,InpMaxDistAtr,InpUseEma14Bias,InpAllowLong,InpAllowShort,InpUseAdrFilter,InpAdrDays,InpAdrDistMin,InpAdrDistMax,InpUseOrder2,InpPendingExpiryBars,InpSLatr,InpMinRR,InpTP1_ATRmult,InpTP1Pct,InpBreakeven,InpUseTrailing,InpUseCutoff,InpCutoffHour,InpCutoffMin,InpRiskPercent,InpMaxTradesPerDay,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpFridayClose,InpFridayCloseHour,InpMagic,InpMaxSpread,InpVerbose
0,-630.65,-1.10061,0.84949,-0.59532,-3.04500,10.1580,573,0.10,0.2,1.5,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
6,-1010.46,-2.04133,0.74751,-0.78446,-5.00000,12.5330,495,0.15,0.3,1.5,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
3,-1010.91,-2.03812,0.74057,-0.76346,-5.00000,12.8390,496,0.25,0.2,1.5,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
12,-966.24,-1.75680,0.75463,-0.77096,-4.57051,12.1833,550,0.20,0.2,2.0,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
15,-1021.33,-1.90547,0.75551,-0.76965,-4.73614,12.8764,536,0.10,0.3,2.0,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
18,-1120.34,-2.48412,0.70111,-0.77451,-5.00000,14.0083,451,0.25,0.3,2.0,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
21,-871.63,-1.59932,0.78184,-0.77805,-3.98994,10.9310,545,0.15,0.2,2.5,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
9,-1014.64,-2.17734,0.73031,-0.74507,-5.00000,13.1611,466,0.30,0.3,1.5,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
1,-773.45,-1.43231,0.80858,-0.70323,-3.97845,10.6509,540,0.15,0.2,1.5,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
19,-1056.64,-2.27234,0.71047,-0.77822,-5.00000,13.1808,465,0.30,0.3,2.0,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
22,-888.30,-1.61509,0.77638,-0.73189,-4.04966,11.7545,550,0.20,0.2,2.5,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
7,-1015.15,-2.03437,0.74405,-0.76848,-5.00000,12.8178,499,0.20,0.3,1.5,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
10,-860.66,-1.48903,0.79263,-0.74117,-3.88163,11.2734,578,0.10,0.2,2.0,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
16,-1085.14,-2.17463,0.72563,-0.81094,-5.00000,13.0510,499,0.15,0.3,2.0,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
4,-960.80,-1.88023,0.74759,-0.77436,-5.00000,12.0698,511,0.30,0.2,1.5,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
