Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpOrder1Atr,InpOrder2Atr,InpTP_RR,InpTF,InpEmaPeriod,InpEma14Period,InpAtrPeriod,InpMinDistAtr,InpMaxDistAtr,InpUseEma14Bias,InpAllowLong,InpAllowShort,InpUseAdrFilter,InpAdrDays,InpAdrDistMin,InpAdrDistMax,InpUseOrder2,InpPendingExpiryBars,InpSLatr,InpMinRR,InpTP1_ATRmult,InpTP1Pct,InpBreakeven,InpUseTrailing,InpUseCutoff,InpCutoffHour,InpCutoffMin,InpRiskPercent,InpMaxTradesPerDay,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpFridayClose,InpFridayCloseHour,InpMagic,InpMaxSpread,InpVerbose
6,259.98,1.29343,1.12459,0.49669,2.46946,5.1731,201,0.15,0.3,1.5,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
9,403.06,1.89230,1.22340,0.86349,4.01191,4.6191,213,0.30,0.3,1.5,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
15,356.04,1.78020,1.16195,0.61114,3.31724,5.7594,200,0.10,0.3,2.0,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
0,206.14,0.99585,1.08912,0.36401,1.91375,5.6198,207,0.10,0.2,1.5,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
21,625.90,2.83213,1.28459,1.20463,5.68580,5.0772,221,0.15,0.2,2.5,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
3,253.09,1.13493,1.11739,0.51347,2.36698,4.8735,223,0.25,0.2,1.5,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
18,432.00,1.99078,1.21329,0.80308,3.95158,5.3088,217,0.25,0.3,2.0,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
12,453.46,2.03345,1.20661,0.88980,4.02819,5.0058,223,0.20,0.2,2.0,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
10,395.20,1.87299,1.17008,0.68655,3.63148,5.6847,211,0.10,0.2,2.0,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
4,375.73,1.61258,1.18788,0.83955,3.50866,4.4259,233,0.30,0.2,1.5,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
13,413.03,1.81154,1.19174,0.82608,3.74808,4.9221,228,0.25,0.2,2.0,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
16,441.98,2.12490,1.21256,0.84747,4.15080,5.1438,208,0.15,0.3,2.0,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
7,238.42,1.16302,1.11341,0.44344,2.20236,5.3156,205,0.20,0.3,1.5,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
22,595.07,2.66848,1.26994,1.16767,5.20044,4.9816,223,0.20,0.2,2.5,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
1,282.59,1.30829,1.12810,0.55156,2.62745,5.0546,216,0.15,0.2,1.5,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
19,549.52,2.48652,1.30161,1.17726,5.20524,4.6088,221,0.30,0.3,2.0,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
20,549.29,2.59099,1.23542,0.96269,4.95689,5.6088,212,0.10,0.2,2.5,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
2,254.38,1.16155,1.11406,0.49916,2.32912,5.0304,219,0.20,0.2,1.5,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
14,565.47,2.38595,1.28827,1.26351,5.20659,4.4055,237,0.30,0.2,2.0,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
11,498.53,2.25579,1.22880,0.95949,4.60109,5.1013,221,0.15,0.2,2.0,16385,200,14,14,0.3,1.5,1,1,1,0,50,0,0.8,1,6,1,1,0,50,1,1,0,19,0,1,0,0,abtg_news.csv,3,60,30,0,,EMA200,0,20,771501,0,1
