SimboloEXT,SimboloSorgente,FileCsv,Formato,Barre,RigheScartate,PrimaData,UltimaData,ShiftOre,ShiftAuto,DiffMediaPunti,DiffMaxPunti,DiffMediaPct,QuandoDiffMax,BarreH1Confrontate,CoperturaPct,ProprietaGuaste,Verdetto
NASUSD_EXT,NASUSD,NASUSD_M1.csv,1,5233590,0,2010.11.14 23:01,2026.07.31 21:13,+5,SI,1795.9,60221.8,0.0756,2025.11.20 16:00,10497,97.0,0,DIFFERENZE FEED APPREZZABILI
SPXUSD_EXT,SPXUSD,SPXUSD_M1.csv,1,4598932,0,2010.11.14 23:00,2026.07.31 21:13,+5,SI,392.8,13419.9,0.0608,2026.03.23 11:00,10517,97.0,0,DIFFERENZE FEED APPREZZABILI
