Simbolo,Timeframe,Barre,PrimaBarra,UltimaBarra,AnniVuoti,Esito
NASUSD_EXT,PERIOD_M15,362325,2010.11.14 23:00,2026.07.31 21:00,-,OK
NASUSD_EXT,PERIOD_H1,93085,2010.11.14 23:00,2026.07.31 21:00,-,OK
SPXUSD_EXT,PERIOD_M15,102880,2021.12.13 19:30,2026.07.31 21:00,-,LETTURA INTERROTTA a 102880 barre su 360619 (CopyRates ha reso -1)
SPXUSD_EXT,PERIOD_H1,92932,2010.11.14 23:00,2026.07.31 21:00,-,OK
