Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpGapMinPoints,InpGapMinRR,InpSessionHour,InpSessionMin,InpRangeMinutes,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpMaxPosSimbolo,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpOCTimeframe,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailStartR,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpTrailFixedPts,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpUseVolRegime,InpVolAtrPeriod,InpVolLookback,InpVolLowPct,InpVolHighPct,InpVolLowOffMult,InpVolHighOffMult,InpVolLowSlMult,InpVolHighSlMult,InpVolHighSizeMult,InpUseSRFilter,InpSRProximityPts,InpSRUsePrevDay,InpSRUseRoundNumbers,InpSRRoundInterval,InpMagic,InpMaxSpread,InpVerbose
14,5915.09,311.32053,1.95420,1.50101,25.85031,3.9044,19,-1.0292,-3005,-3004.67,20,1.5,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
12,4588.19,218.48524,1.62084,1.08243,18.83780,4.2387,21,-1.0272,-2965,-2965.28,0,1.5,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
2,7993.22,216.03297,1.76852,1.55201,25.86759,5.0783,37,-1.0271,-4007,-4007.03,20,0.5,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
10,7649.67,294.21808,2.00709,1.94117,32.43899,3.9066,26,-1.0268,-3005,-3004.67,40,1.0,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
6,6464.96,202.03000,1.70639,1.49033,20.57761,4.3161,32,-1.0289,-2977,-2977.17,0,1.0,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
8,7461.63,266.48679,1.93973,1.89073,27.62703,3.9073,28,-1.0284,-3008,-3008.50,20,1.0,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
4,8100.16,245.45939,1.83847,1.57955,31.49310,5.0837,33,-1.0268,-3987,-3986.54,40,0.5,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
0,6763.32,157.28651,1.54466,1.10856,17.88621,6.0239,43,-1.0268,-3959,-3958.59,0,0.5,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
15,5915.09,311.32053,1.95420,1.50101,25.85031,3.9044,19,-1.0292,-3005,-3004.67,30,1.5,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
13,5915.09,311.32053,1.95420,1.50101,25.85031,3.9044,19,-1.0292,-3005,-3004.67,10,1.5,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
