Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpEngulfLookback,InpMagic,InpSymbols,InpTF,InpMaxTotalPositions,InpAllowTwoCandle,InpMinEngulfBodyPct,InpAllowLong,InpAllowShort,InpEZ1ratio,InpEZ2ratio,InpSLratio,InpUseEZ2,InpMinDistPips,InpAtrPeriod,InpMaxEngulfAtr,InpPendingExpiryBars,InpSLbufferPips,InpTP1_R,InpTP1Pct,InpBreakeven,InpUseTrailing,InpTrailAtrMult,InpRiskPercent,InpFirstFraction,InpUseCutoff,InpCutoffHour,InpCutoffMin,InpFridayClose,InpFridayCloseHour,InpFridayCloseMin,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpComment,InpMaxSpread,InpVerbose
3,-394.13,-5.47403,0.68927,-0.82629,-2.20243,4.7363,72,8,772003,GBPUSD;USDJPY;EURUSD,16388,1,1,25,1,1,1.88,2.88,4.236,1,50,14,3,6,3,1,50,1,1,2,1,0.3333,1,17,45,1,21,50,0,abtg_news.csv,3,60,30,0,FIBOH4,0,1
0,-394.13,-5.47403,0.68927,-0.82629,-2.20243,4.7363,72,8,772002,GBPUSD;USDJPY;EURUSD,16388,1,1,25,1,1,1.88,2.88,4.236,1,50,14,3,6,3,1,50,1,1,2,1,0.3333,1,17,45,1,21,50,0,abtg_news.csv,3,60,30,0,FIBOH4,0,1
1,-428.40,-5.42278,0.68527,-0.83793,-2.14128,5.0765,79,12,772002,GBPUSD;USDJPY;EURUSD,16388,1,1,25,1,1,1.88,2.88,4.236,1,50,14,3,6,3,1,50,1,1,2,1,0.3333,1,17,45,1,21,50,0,abtg_news.csv,3,60,30,0,FIBOH4,0,1
5,-548.24,-6.60530,0.63546,-0.86871,-2.64273,6.2665,83,16,772003,GBPUSD;USDJPY;EURUSD,16388,1,1,25,1,1,1.88,2.88,4.236,1,50,14,3,6,3,1,50,1,1,2,1,0.3333,1,17,45,1,21,50,0,abtg_news.csv,3,60,30,0,FIBOH4,0,1
2,-548.24,-6.60530,0.63546,-0.86871,-2.64273,6.2665,83,16,772002,GBPUSD;USDJPY;EURUSD,16388,1,1,25,1,1,1.88,2.88,4.236,1,50,14,3,6,3,1,50,1,1,2,1,0.3333,1,17,45,1,21,50,0,abtg_news.csv,3,60,30,0,FIBOH4,0,1
4,-428.40,-5.42278,0.68527,-0.83793,-2.14128,5.0765,79,12,772003,GBPUSD;USDJPY;EURUSD,16388,1,1,25,1,1,1.88,2.88,4.236,1,50,14,3,6,3,1,50,1,1,2,1,0.3333,1,17,45,1,21,50,0,abtg_news.csv,3,60,30,0,FIBOH4,0,1
