Pass,Simbolo,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Giornate Operate,Lordo Medio Punti,Lordo Medio Valuta,Spread Mediano Ingresso,Spread P95 Ingresso,Rapporto Lordo Su Spread,Giornate Positive %,Ore Medie Tenuta,Uscite Ora,Uscite Flat,Uscite Stop O Orfane,Notti Attraversate,Lotti Al Minimo,Ora Ingresso,Ore Durata,Lato,Autotest Falliti,Giorni Saltati Spread,InpOraIngresso,InpOreDurata,InpAllowLong,InpAllowShort,InpSLatrMult,InpATRPeriod,InpTPatrMult,InpMaxPositions,InpMaxTradesPerDay,InpMaxSpreadPts,InpFlatAnticipoMin,InpRiskPercent,InpComment,InpMagic,InpVerbose,InpAutoTest
0,D30EUR,22.43,1.40187,1.06811,0.08260,0.34344,0.2716,16,-0.2747,16,928.75,6.59,380.00,410.00,2.444,56.25,4.00,16,0,0,0,0,0,4,1,0,0,0,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
1,D30EUR,94.00,15.66667,1.82674,0.64313,0.60816,0.1460,6,-0.1532,6,2208.33,21.24,375.00,430.00,5.889,83.33,4.00,6,0,0,0,0,1,4,1,0,0,1,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
2,D30EUR,-12.19,-0.50792,0.97921,-0.03537,-0.27778,0.3445,24,-0.1951,24,383.33,6.08,375.00,430.00,1.022,54.17,4.00,24,0,0,0,0,2,4,1,0,0,2,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
3,D30EUR,-533.53,-22.23042,0.44655,-0.77401,-5.00000,0.6889,24,-0.2249,24,-1245.83,-15.96,380.00,410.00,3.279,54.17,4.00,24,0,0,0,0,3,4,1,0,0,3,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
4,D30EUR,-212.15,-8.15962,0.79480,-0.26625,-3.69471,0.7961,26,-0.2460,26,-251.92,-0.74,350.00,390.00,0.720,42.31,4.00,26,0,0,0,0,4,4,1,0,0,4,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
5,D30EUR,58.14,4.15286,1.09350,0.10768,0.45408,0.5384,14,-0.2215,14,342.86,11.44,360.00,580.00,0.952,50.00,4.00,14,0,0,0,0,5,4,1,0,0,5,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
6,D30EUR,1759.58,73.31583,4.24114,4.18738,15.37884,0.4198,24,-0.2789,24,5387.08,80.16,390.00,430.00,13.813,62.50,4.00,24,0,0,0,0,6,4,1,0,0,6,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
7,D30EUR,-154.88,-5.73630,0.95784,-0.07381,-0.91880,2.0771,27,-0.9938,27,-662.96,2.60,400.00,580.00,1.657,51.85,3.98,26,0,1,0,0,7,4,1,0,0,7,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
8,D30EUR,601.13,27.32409,1.53657,0.59253,4.19257,1.0013,22,-0.5451,22,506.36,34.69,345.00,580.00,1.468,54.55,4.00,22,0,0,0,0,8,4,1,0,0,8,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
9,D30EUR,-683.69,-32.55667,0.73225,-0.46894,-4.71140,1.4559,21,-0.8505,21,-603.33,-27.66,240.00,280.00,2.514,47.62,4.00,21,0,0,0,0,9,4,1,0,0,9,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
10,D30EUR,1058.09,66.13062,2.59505,1.64937,8.27150,0.6334,16,-0.3701,16,3224.37,69.87,170.00,290.00,18.967,62.50,4.00,16,0,0,0,0,10,4,1,0,0,10,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
11,D30EUR,676.26,35.59263,1.58603,0.91997,5.46495,0.7249,19,-0.2784,19,-1414.21,38.97,170.00,180.00,8.319,52.63,4.00,19,0,0,0,0,11,4,1,0,0,11,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
12,D30EUR,854.31,47.46167,1.87692,1.44407,6.09780,0.5882,18,-0.4230,18,1995.56,50.93,170.00,190.00,11.739,66.67,4.00,18,0,0,0,0,12,4,1,0,0,12,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
13,D30EUR,-233.44,-14.59000,0.85473,-0.14968,-1.33649,1.5586,16,-0.5036,16,2073.13,-11.40,160.00,190.00,12.957,50.00,4.00,16,0,0,0,0,13,4,1,0,0,13,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
14,D30EUR,1769.80,58.99333,2.80345,3.54002,11.80646,0.4934,30,-0.2835,30,2041.67,62.30,160.00,270.00,12.760,66.67,4.00,30,0,0,0,0,14,4,1,0,0,14,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
15,D30EUR,-490.98,-16.36600,0.78901,-0.37190,-3.32541,1.3158,30,-0.6357,30,2443.67,-13.01,170.00,580.00,14.375,50.00,4.00,30,0,0,0,0,15,4,1,0,0,15,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
16,D30EUR,202.08,12.63000,1.29416,0.37812,2.19340,0.5308,16,-0.3580,16,60.63,15.37,170.00,190.00,0.357,56.25,4.00,16,0,0,0,0,16,4,1,0,0,16,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
17,D30EUR,1244.09,47.84962,3.21838,4.30273,14.11961,0.2850,26,-0.2063,26,9316.15,54.65,260.00,290.00,35.831,61.54,9.86,26,0,0,3,0,17,4,1,0,0,17,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
18,D30EUR,-227.97,-11.99842,0.80695,-0.29670,-2.54935,0.7681,19,-0.2562,19,6230.00,9.25,270.00,700.00,23.074,47.37,18.64,19,0,0,19,0,18,4,1,0,0,18,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
19,D30EUR,-458.90,-15.82414,0.62942,-0.76266,-5.00000,0.6011,29,-0.1540,29,532.07,3.06,260.00,290.00,2.046,65.52,19.34,29,0,0,28,0,19,4,1,0,0,19,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
20,D30EUR,-263.98,-10.99917,0.58246,-0.65221,-5.00000,0.4045,24,-0.1214,24,679.58,2.81,250.00,350.00,2.718,58.33,13.23,20,4,0,20,0,20,4,1,0,0,20,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
21,D30EUR,-95.25,-5.01316,0.77187,-0.34202,-2.68874,0.2780,19,-0.1630,19,790.53,9.55,280.00,410.00,2.823,52.63,6.31,15,4,0,15,0,21,4,1,0,0,21,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
22,D30EUR,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,0.0000,0,0.00,0.00,0.00,0.00,0.000,0.00,0.00,0,0,0,0,0,22,4,1,0,0,22,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
23,D30EUR,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,0.0000,0,0.00,0.00,0.00,0.00,0.000,0.00,0.00,0,0,0,0,0,23,4,1,0,0,23,4,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
24,D30EUR,-185.02,-11.56375,0.68036,-0.58920,-1.58889,0.3136,16,-0.2747,16,-193.12,-6.37,380.00,410.00,0.508,56.25,8.00,16,0,0,0,0,0,8,1,0,0,0,8,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
25,D30EUR,434.60,72.43333,0.00000,2.89540,1.21062,0.1500,6,-0.1531,6,5836.67,78.01,375.00,430.00,15.564,100.00,8.00,6,0,0,0,0,1,8,1,0,0,1,8,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
26,D30EUR,-781.13,-32.54708,0.59239,-0.62695,-5.00000,1.2424,24,-0.5173,24,-2345.00,-25.96,375.00,430.00,6.253,58.33,8.00,24,0,0,0,0,2,8,1,0,0,2,8,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
27,D30EUR,-1261.48,-52.56167,0.53891,-0.63723,-5.00000,1.9750,24,-0.5252,24,-3174.17,-46.35,380.00,410.00,8.353,50.00,8.00,24,0,0,0,0,3,8,1,0,0,3,8,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
28,D30EUR,191.96,7.38308,1.06376,0.15525,0.93757,1.2363,26,-0.7211,26,155.38,14.79,350.00,390.00,0.444,57.69,8.00,26,0,0,0,0,4,8,1,0,0,4,8,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
29,D30EUR,-644.80,-46.05714,0.69320,-0.42240,-2.01821,1.5132,14,-0.6916,14,-4263.57,-38.77,360.00,580.00,11.843,35.71,8.00,14,0,0,0,0,5,8,1,0,0,5,8,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
30,D30EUR,3568.27,148.67792,7.23007,7.03801,15.86777,0.5059,24,-0.4097,24,9570.83,155.57,390.00,430.00,24.541,75.00,8.00,24,0,0,0,0,6,8,1,0,0,6,8,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
31,D30EUR,-588.63,-21.80111,0.84334,-0.24538,-1.96357,2.3807,27,-0.9994,27,-482.22,-13.50,400.00,580.00,1.206,55.56,7.83,26,0,1,0,0,7,8,1,0,0,7,8,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
32,D30EUR,-41.44,-1.88364,0.98564,-0.01838,-0.13167,2.2072,22,-0.9941,22,-349.55,5.55,345.00,580.00,1.013,54.55,7.86,21,0,1,0,0,8,8,1,0,0,8,8,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
33,D30EUR,-1439.61,-68.55286,0.61999,-0.67972,-4.78163,2.1173,21,-0.9508,21,-1747.14,-63.69,240.00,280.00,7.280,42.86,8.00,21,0,0,0,0,9,8,1,0,0,9,8,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
34,D30EUR,2383.05,148.94063,3.96961,4.26795,8.88972,0.5481,16,-0.4465,16,6806.25,152.68,170.00,290.00,40.037,62.50,8.00,16,0,0,0,0,10,8,1,0,0,10,8,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
35,D30EUR,1859.08,97.84632,2.39667,2.02998,7.25794,0.8943,19,-0.4304,19,1050.00,101.24,170.00,180.00,6.176,63.16,8.00,19,0,0,0,0,11,8,1,0,0,11,8,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
36,D30EUR,1558.12,86.56222,2.49955,2.45528,6.37541,0.6305,18,-0.4935,18,3840.56,90.05,170.00,190.00,22.592,55.56,8.00,18,0,0,0,0,12,8,1,0,0,12,8,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
37,D30EUR,227.83,14.23937,1.14154,0.14385,0.77023,1.5828,16,-0.5163,16,2486.88,17.44,160.00,190.00,15.543,43.75,8.00,16,0,0,0,0,13,8,1,0,0,13,8,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
38,D30EUR,1563.24,52.10800,1.99791,1.89477,5.61302,0.8139,30,-0.2843,30,1409.00,72.59,160.00,270.00,8.806,76.67,22.16,30,0,0,26,0,14,8,1,0,0,14,8,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
39,D30EUR,-1680.89,-56.02967,0.52393,-0.73640,-5.00000,2.2748,30,-0.6445,30,2195.67,-35.83,170.00,580.00,12.916,33.33,18.75,30,0,0,27,0,15,8,1,0,0,15,8,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
40,D30EUR,654.23,40.88938,2.04699,1.24046,4.19741,0.5229,16,-0.3641,16,3125.62,61.70,170.00,190.00,18.386,75.00,23.18,16,0,0,16,0,16,8,1,0,0,16,8,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
41,D30EUR,876.61,33.71577,2.01514,2.21696,7.23476,0.3947,26,-0.1963,26,9137.31,50.85,260.00,290.00,35.143,57.69,18.02,23,3,0,23,0,17,8,1,0,0,17,8,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
42,D30EUR,-370.95,-19.52368,0.68166,-0.44985,-3.41591,0.8243,19,-0.2563,19,4297.89,1.68,270.00,700.00,15.918,47.37,20.03,19,0,0,19,0,18,8,1,0,0,18,8,1,0,10,14,0,1,1,0,30,1,OROLOGIO,777211,1,1
