Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpExitMode,InpAllowLong,InpAllowShort,InpTF,InpTP_R,InpSLBufferATR,InpAtrPeriod,InpMinRangeATR,InpMaxBarsHold,InpWarmupBars,InpMaxSpreadPts,InpEntryWindowBars,InpRiskPercent,InpMagic,InpComment,InpVerbose
3,-6405.10,-9.53140,0.65896,-0.98685,-5.00000,64.3551,672,-5.9670,-287,-490.29,0,1,0,16385,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
6,-6908.79,-10.38916,0.67165,-0.97193,-5.00000,70.7322,665,-3.6328,-560,-559.51,0,0,1,16385,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
7,-6814.98,-10.74918,0.75815,-0.92583,-4.85167,71.3187,634,-4.0102,-601,-996.29,1,0,1,16385,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
5,-5967.02,-9.73413,0.71611,-0.95419,-2.80653,60.8753,613,-7.9082,-684,-800.39,2,1,0,16385,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
4,-5827.13,-10.15179,0.77405,-0.93551,-3.24074,59.8827,574,-4.9046,-909,-909.48,1,1,0,16385,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
9,-7452.55,-7.49000,0.70351,-0.99439,-5.00000,74.7888,995,-5.9893,-566,-565.78,0,1,1,16385,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
8,-7182.87,-11.58527,0.68138,-0.98686,-3.53929,72.6326,620,-4.9769,-480,-794.03,2,0,1,16385,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
10,-7106.64,-8.35093,0.79178,-0.97953,-3.30411,71.4898,851,-4.9667,-996,-995.52,1,1,1,16385,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
11,-8843.30,-7.17218,0.68811,-0.98669,-3.26694,88.5694,1233,-9.4883,-230,-882.86,2,1,1,16385,1.5,0.2,14,0,100,500,0,3,1,772311,COST,1
