Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpTrailStartR,InpTrailTF,InpSessionHour,InpSessionMin,InpRangeMinutes,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpMaxPosSimbolo,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpOCTimeframe,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailMode,InpTrailAtrMult,InpTrailFixedPts,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
18,229.50,3.76230,1.12324,0.36740,5.90600,5.9369,61,-1.2030,-413,-412.57,0.75,4,14,30,15,21,45,1,1,0,0,2,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,0,20,1,1,770201,0,1
3,87.71,1.48661,1.05037,0.16640,2.65341,5.0934,59,-1.2001,-303,-302.64,0.75,1,14,30,15,21,45,1,1,0,0,2,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,0,20,1,1,770201,0,1
21,35.17,0.61702,1.02036,0.04451,1.07896,7.5868,57,-1.1940,-400,-399.68,0.25,5,14,30,15,21,45,1,1,0,0,2,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,0,20,1,1,770201,0,1
12,-62.86,-1.06542,0.96346,-0.09084,-2.30334,6.6855,59,-1.2003,-299,-298.72,0.50,3,14,30,15,21,45,1,1,0,0,2,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,0,20,1,1,770201,0,1
15,-199.90,-3.91961,0.87617,-0.23270,-5.00000,8.3102,51,-1.2019,-299,-298.72,0.00,4,14,30,15,21,45,1,1,0,0,2,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,0,20,1,1,770201,0,1
6,148.13,2.55397,1.11227,0.24925,7.09360,5.7727,58,-1.2043,-299,-298.72,0.25,2,14,30,15,21,45,1,1,0,0,2,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,0,20,1,1,770201,0,1
0,69.62,1.39240,1.06836,0.14623,5.54660,4.6303,50,-1.1993,-196,-195.86,0.00,1,14,30,15,21,45,1,1,0,0,2,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,0,20,1,1,770201,0,1
9,64.35,1.07250,1.03188,0.10540,1.35951,5.9223,60,-1.2019,-400,-399.68,1.00,2,14,30,15,21,45,1,1,0,0,2,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,0,20,1,1,770201,0,1
19,201.21,3.35350,1.09758,0.31112,4.04562,6.1608,60,-1.1797,-413,-412.57,1.00,4,14,30,15,21,45,1,1,0,0,2,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,0,20,1,1,770201,0,1
22,45.07,0.77707,1.02467,0.06694,1.30974,6.4646,58,-1.1940,-400,-399.68,0.50,5,14,30,15,21,45,1,1,0,0,2,16385,60,200,0,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,1,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,0,20,1,1,770201,0,1
